outcome,term,estimate,se,t
cosmo,(Intercept),0.434526,0.0119516,36.3571
cosmo,female,0.00179317,0.00117875,1.52124
cosmo,mage,-0.00120146,5.13966e-5,-23.3762
cosmo,edu3mid,0.0583968,0.0016436,35.5299
cosmo,edu3high,0.116362,0.0018492,62.9259
cosmo,sesself_employed,0.0238503,0.00249524,9.55832
cosmo,sesmanager,0.0638474,0.00228106,27.9903
cosmo,seswhite_collar,0.0303187,0.00215901,14.0428
cosmo,seshouse_person,-0.00223223,0.00256969,-0.868679
cosmo,sesunemployed,-0.0350996,0.00240905,-14.5699
cosmo,sesretired,0.0066099,0.00213845,3.09098
cosmo,sesstudent,0.0915984,0.00259467,35.3025
cosmo,urbanrural,-0.0191589,0.00148599,-12.893
cosmo,urbansmall_town,-0.0114741,0.00147019,-7.80452
cosmo,mgrowth,-6.31451e-4,6.06113e-4,-1.0418
cosmo,munemp,-0.00534854,7.12936e-4,-7.50213
util,(Intercept),0.0979457,0.00741001,13.218
util,female,-0.0139277,6.48004e-4,-21.4933
util,mage,-2.76332e-4,2.8253e-5,-9.78062
util,edu3mid,0.00944513,9.03542e-4,10.4535
util,edu3high,0.0141351,0.00101656,13.9048
util,sesself_employed,0.0115533,0.00137172,8.42249
util,sesmanager,0.010459,0.00125398,8.34063
util,seswhite_collar,0.00687863,0.00118689,5.79552
util,seshouse_person,1.51988e-6,0.00141263,0.00107592
util,sesunemployed,-0.0072804,0.00132433,-5.49741
util,sesretired,0.00346566,0.00117557,2.94806
util,sesstudent,0.0171841,0.00142637,12.0474
util,urbanrural,-0.00468106,8.16867e-4,-5.7305
util,urbansmall_town,-0.00274763,8.08164e-4,-3.39984
util,mgrowth,0.00186742,3.02463e-4,6.17404
util,munemp,-0.00239383,3.5712e-4,-6.70316
comm,(Intercept),0.231854,0.0123787,18.7301
comm,female,0.0111192,9.0094e-4,12.3418
comm,mage,4.59837e-4,3.92805e-5,11.7065
comm,edu3mid,-0.0231058,0.00125624,-18.3928
comm,edu3high,-0.0633912,0.00141338,-44.8506
comm,sesself_employed,-0.0320233,0.00190715,-16.7912
comm,sesmanager,-0.0515367,0.00174344,-29.5603
comm,seswhite_collar,-0.0265061,0.00165017,-16.0627
comm,seshouse_person,-0.00710356,0.00196404,-3.6168
comm,sesunemployed,0.027678,0.00184126,15.0321
comm,sesretired,-0.0112486,0.00163443,-6.88226
comm,sesstudent,-0.0644837,0.00198313,-32.5162
comm,urbanrural,0.00789896,0.00113571,6.95508
comm,urbansmall_town,0.00516861,0.0011236,4.60003
comm,mgrowth,-2.39148e-4,4.09923e-4,-0.583397
comm,munemp,0.00517601,4.85156e-4,10.6687
lib,(Intercept),0.155455,0.0113388,13.7101
lib,female,-0.0144132,7.79775e-4,-18.4838
lib,mage,7.10451e-4,3.40017e-5,20.8946
lib,edu3mid,-0.00495895,0.00108735,-4.56057
lib,edu3high,-0.0115916,0.00122341,-9.4748
lib,sesself_employed,0.00381501,0.00165068,2.31118
lib,sesmanager,-0.00681187,0.00150898,-4.51423
lib,seswhite_collar,-0.00278722,0.00142826,-1.95149
lib,seshouse_person,-0.00928742,0.00170002,-5.46314
lib,sesunemployed,0.00456057,0.00159365,2.86171
lib,sesretired,-0.0110623,0.00141465,-7.8198
lib,sesstudent,-0.0437388,0.00171645,-25.4821
lib,urbanrural,0.00826685,9.83073e-4,8.40919
lib,urbansmall_town,0.0032812,9.72645e-4,3.37348
lib,mgrowth,-7.62984e-4,4.31395e-4,-1.76864
lib,munemp,0.00284117,5.09864e-4,5.57241
