outcome,level,model,n,term,estimate,se,statistic,p
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: mid,0.04186287285016631,0.0016709291170227912,25.053649747127665,2.0625735114284622e-138
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: high,0.09327561832665653,0.0018651005185291165,50.01104090637267,0
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,unemployment,-0.004442497758769212,7.741203705218259e-4,-5.738768708249562,1.5712649966689454e-8
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,growth,0.0019450760884074973,7.096018187265663e-4,2.7410810359788567,0.0062725078552886065
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x unemployment,-0.0011110088432987554,4.0098277204151457e-4,-2.770714655999561,0.005593613841725625
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x unemployment,-0.002929462736082652,4.293601509652173e-4,-6.822856591365344,8.93804565048121e-12
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x growth,-0.002288556362482844,4.590686987334023e-4,-4.985215434633436,6.19200173427111e-7
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x growth,-0.004848935422423667,4.91088409777029e-4,-9.873854332309023,5.4394121651561e-23
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: mid,0.005293168383865465,9.667458257352904e-4,5.475243071093243,4.371852831350091e-8
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: high,0.008391832582292537,0.0010790725052622656,7.776894083917861,7.451067340237145e-15
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,unemployment,-0.002683322645305485,4.120710457113608e-4,-6.511796141059239,1.584748121497854e-10
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,growth,0.0019281915152401595,3.820269186035213e-4,5.047266099175835,5.50381456629146e-7
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x unemployment,1.7965152137966364e-4,2.3190785247730863e-4,0.7746676943474431,0.43853652999302795
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x unemployment,-2.033263297951288e-4,2.4832626127747133e-4,-0.8187870616226887,0.41290842958335505
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x growth,1.3905115765194706e-4,2.65494418513646e-4,0.5237441842672864,0.6004567874352427
util,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x growth,-9.851887744158564e-5,2.8400567035316137e-4,-0.34689052975272394,0.7286737555369194
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: mid,-0.035583900050137354,0.001329428142955787,-26.76632072119506,1.1160726980574141e-157
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: high,-0.08051697874807891,0.0014838998027143233,-54.260387797611855,0
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,unemployment,0.005146370163172327,5.619498548864963e-4,9.15805942188881,9.378294532860842e-19
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,growth,-0.001875122595648006,5.212492235745009e-4,-3.5973628560810686,3.4090997228162487e-4
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x unemployment,-2.828674570885143e-4,3.188919742684195e-4,-0.8870322238038438,0.3750621171770795
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x unemployment,0.0016441514256957358,3.414698585314269e-4,4.814924025115434,1.4731269049081588e-6
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x growth,0.001106910063912554,3.6507340470780676e-4,3.0320205461104184,0.0024293918304383404
comm,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x growth,0.003143794914765393,3.9052653650791414e-4,8.050144153780655,8.293505567475507e-16
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: mid,-0.011646050418400212,0.0011575144500295767,-10.061257047894852,8.250722092787567e-24
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,education: high,-0.021279096556594556,0.001292059058915589,-16.469136151139924,6.417245448668789e-61
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,unemployment,0.00212460892093577,5.903964704905508e-4,3.598613858870916,3.500159927771373e-4
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,growth,-0.0019270167140006287,5.334479816917581e-4,-3.6123798010995487,3.2604062402427896e-4
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x unemployment,0.0012110548305641208,2.7785992529113195e-4,4.3585084437607176,1.3098609514619519e-5
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x unemployment,0.0014842579447905686,2.9751771781320115e-4,4.988805223769805,6.078050406137458e-7
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,mid x growth,0.0010551503168192155,3.181139489186488e-4,3.3168942148118403,9.103259223312506e-4
lib,respondent,"published: respondents in country-waves in countries, no-opinion dropped",382335,high x growth,0.0018090038913097979,3.4030944016159127e-4,5.315761709257367,1.0627172069429986e-7
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: mid,0.05815376774004277,0.0016446934420657183,35.35842379659655,1.9435066504417658e-273
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: high,0.11622203513421588,0.001850376447585058,62.80994080199099,0
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,unemployment,-0.005054113965110983,7.657250590854137e-4,-6.600429103296744,9.779150318376713e-11
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,growth,3.262988902554795e-4,7.024214402041717e-4,0.4645343544192426,0.6424069570751948
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x unemployment,3.685177122913292e-4,3.888608715492102e-4,0.9476852500565706,0.34329027905218357
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x unemployment,-0.0013574944922944785,4.1968564544006635e-4,-3.2345506858378767,0.0012184406934871229
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x growth,-2.7209435337855863e-4,4.4863120457459317e-4,-0.6064989474741674,0.5441838222013649
cosmo,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x growth,-0.0025312114234121177,4.832616485646113e-4,-5.237765982321063,1.6261330719128987e-7
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: mid,0.009546804589428342,9.041930651518368e-4,10.558369619684257,4.6828597219274867e-26
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: high,0.01425634009492977,0.0010172634206502787,14.014403551261582,1.303451651996939e-44
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,unemployment,-0.002694912444012227,3.893630700482009e-4,-6.9213355125811296,1.2069432024340008e-11
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,growth,0.0012563125731208861,3.604436902645623e-4,3.4854614106263435,5.181855180522735e-4
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x unemployment,4.967115665503038e-4,2.1370363255802572e-4,2.324300998558995,0.02010986311965538
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x unemployment,1.438634312933935e-4,2.3065100083016177e-4,0.6237277565481987,0.532806744364108
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x growth,7.77446192168365e-4,2.465458256511541e-4,3.153353702562377,0.0016141799386228785
util,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x growth,6.618432532428232e-4,2.6557140169259686e-4,2.4921480589574827,0.01269771047173896
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: mid,-0.0227272516968169,0.0012569663942886106,-18.081033669702485,4.80252037729153e-73
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: high,-0.06310458377880585,0.0014141574861533444,-44.62344851736201,0
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,unemployment,0.004162820976164025,5.290106029741633e-4,7.869069074911028,1.9195063830118957e-14
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,growth,-0.0020508515701028293,4.907806839605821e-4,-4.178753641142786,3.261396369336208e-5
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x unemployment,4.5071907024161556e-4,2.970390864504382e-4,1.51737293440949,0.1291733421883457
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x unemployment,0.002364378982105921,3.2059900284813603e-4,7.374879401062578,1.6480787655498827e-13
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x growth,0.001412915048189382,3.426838691595215e-4,4.123085955737418,3.739054019272048e-5
comm,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x growth,0.0033529002385357057,3.691255695144121e-4,9.083359472892855,1.0573473193689904e-19
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: mid,-0.004714615961883064,0.001088067214406936,-4.333019044648654,1.4711356195487536e-5
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,education: high,-0.01138423056735064,0.0012241785814299554,-9.299485173194904,1.4179204420272215e-20
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,unemployment,0.0015115288234813567,5.441203712856604e-4,2.777930956545297,0.005667477387789965
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,growth,-0.002051302055641056,4.926407083265336e-4,-4.1638906833525535,3.5369550296177515e-5
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x unemployment,0.0015714790121362898,2.5730775595953317e-4,6.107390763547122,1.013646906032705e-9
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x unemployment,0.0018137873489049573,2.776993590067527e-4,6.531478341874214,6.520014435395544e-11
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,mid x growth,0.0012620619160279927,2.9685521917861927e-4,4.251439201641942,2.1244868246521478e-5
lib,respondent,"published: respondents in country-waves in countries, no-opinion scored zero",407144,high x growth,0.001973900577229848,3.197746310670945e-4,6.172786661164775,6.716008850437819e-10
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: mid,0.04175399310164021,0.0022905905528338125,18.228483938338133,6.7646850129429965e-49
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: high,0.0943033825941203,0.003421545628964141,27.56163232073286,2.5349670276727106e-80
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,unemployment,-0.002952105378027726,8.550703666035983e-4,-3.452470689346543,6.449854145807771e-4
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,growth,0.003172193557391655,0.0011918960439897285,2.661468316291343,0.00824808068773222
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x unemployment,3.41341340494276e-4,7.125950324004199e-4,0.4790116755998801,0.6323194704738655
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x unemployment,-0.0014308111280115162,8.169326513035766e-4,-1.751443189017327,0.08100927614461925
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x growth,-0.002938700277658118,7.192128619218422e-4,-4.085995166723632,5.797061569115684e-5
cosmo,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,high x growth,-0.005567674714828589,0.0010219450017222701,-5.448115804123961,1.149766318451284e-7
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: mid,0.005393734774252728,0.001276556657141728,4.22522161008471,3.271561492338238e-5
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,education: high,0.008622471163704074,0.0016077574039249916,5.363042423349554,1.764100765217475e-7
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,unemployment,-0.0010389262485826375,4.838768823315885e-4,-2.1470880021721883,0.0326802067357742
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,growth,0.0020886215672114945,5.979460755174632e-4,3.4929931857216374,5.582388992144143e-4
util,respondent,"respondents, country and year fixed effects, errors clustered by country-year, no-opinion dropped",382335,mid x unemployment,8.070065287948996e-5,3.3100106821141827e-4,0.24380783214857943,0.8075654915977118
