cosmo,n_respondents
0,110224
0.1111111111111111,4
0.125,45
0.14285714285714285,682
0.16666666666666666,1668
0.2,4183
0.2222222222222222,80
0.25,10277
0.2727272727272727,27
0.2857142857142857,1353
0.3,105
0.3333333333333333,27612
0.36363636363636365,171
0.375,1029
0.38461538461538464,420
0.4,7322
0.4166666666666667,314
0.42857142857142855,2129
0.4444444444444444,857
0.45454545454545453,520
0.5,66769
0.5555555555555556,1294
0.5714285714285714,2510
0.6,9110
0.625,1882
0.6666666666666666,37340
0.7142857142857143,3711
0.75,14069
0.8,5894
0.8333333333333334,2148
1,102949
