factor,eigenvalue,parallel_mean,n_respondents
1,3.392432172322959,0.010847450029613803,416698
2,2.4031013812349435,0.00734526669309926,416698
3,1.1294307953857745,0.005704700877364717,416698
4,0.8893844840462558,0.004391577345010105,416698
5,0.7830853956565385,0.0030079087096966228,416698
6,0.7118793063283404,0.0017428246807299408,416698
7,0.6669113976712703,6.399504743305134e-4,416698
8,0.6422188849719839,-4.660337974476328e-4,416698
9,0.5570179599136078,-0.0017917004772511598,416698
10,0.5299178079843455,-0.0031607471316754824,416698
11,0.5023935391143859,-0.004513594263146701,416698
12,0.4070245908269287,-0.006087170288972544,416698
13,0.38520228454266553,-0.008323973439856837,416698
