solution,item,scale,valence,communality,F1,F2,F3,F4
2-factor,Peace,cosmopolitan,positive,0.31800115031602194,0.031509547940300475,0.5689473675439781,NA,NA
2-factor,Economic prosperity,utilitarian,positive,0.333695142266186,-0.20155028138383635,0.5050450675656049,NA,NA
2-factor,Democracy,cosmopolitan,positive,0.40181343590192065,-0.04830679861003678,0.6230913202435352,NA,NA
2-factor,Social protection,utilitarian,positive,0.2961465183202756,-0.03726727598150248,0.5360039445985472,NA,NA
2-factor,Freedom to travel,cosmopolitan,positive,0.19642530887951165,0.00828199859277326,0.4446702209267922,NA,NA
2-factor,Cultural diversity,cosmopolitan,positive,0.34109238564510536,0.1511734789543851,0.5930509498937677,NA,NA
2-factor,Stronger say in the world,cosmopolitan,positive,0.30488278019581166,-0.0066214910001973215,0.5508875905149491,NA,NA
2-factor,Unemployment,communitarian,negative,0.32922056810735834,0.5547846680808016,-0.07577025105107982,NA,NA
2-factor,Bureaucracy,libertarian,negative,0.2750994290022524,0.5338801682636424,0.0979489662748575,NA,NA
2-factor,Waste of money,libertarian,negative,0.5024978548424394,0.6586123011700689,-0.16661459559742312,NA,NA
2-factor,Loss of cultural identity,communitarian,negative,0.2879865635441658,0.5139059053415156,-0.08597685451094192,NA,NA
2-factor,More crime,communitarian,negative,0.5451421894615294,0.7459928296243998,0.049653325990643704,NA,NA
2-factor,Not enough border control,communitarian,negative,0.3965484286770357,0.640972613115619,0.11539774461525298,NA,NA
4-factor,Peace,cosmopolitan,positive,0.3238880376612868,0.5142232891673989,-0.031333573834967834,0.09947863596200292,0.11874270472455342
4-factor,Economic prosperity,utilitarian,positive,0.37015383354912174,0.5420422655845673,-0.09501075597253775,-0.09817369686812383,0.03021042361135426
4-factor,Democracy,cosmopolitan,positive,0.4200131253021458,0.5963983728082801,-0.063530079876928,0.04781340858314795,0.1003013961392013
4-factor,Social protection,utilitarian,positive,0.4672372376457392,0.7163078812436889,0.07228439828970444,-0.07085350503619069,-0.11379236033627298
4-factor,Freedom to travel,cosmopolitan,positive,0.4928049017616813,-0.022986709052890686,0.036861391125948856,-0.044514303207809275,0.7133745778591659
4-factor,Cultural diversity,cosmopolitan,positive,0.4092136130759074,0.2639075387799969,0.056182593802711435,0.12050976197562512,0.48278264844911106
4-factor,Stronger say in the world,cosmopolitan,positive,0.29960284485130473,0.3481539503937337,-0.016882892103718565,0.019391207283435005,0.30339049211085783
4-factor,Unemployment,communitarian,negative,0.3981227113943295,0.07275163911281733,0.5239423432645168,0.09063024139639747,-0.23378918515697264
4-factor,Bureaucracy,libertarian,negative,0.5279807711787242,0.018450741804012183,-0.044042744976868,0.7488884613901675,0.0852026958086079
4-factor,Waste of money,libertarian,negative,0.6194514649423587,-0.08947362318435914,0.1720089124691515,0.6185759511163458,-0.1757744683796804
4-factor,Loss of cultural identity,communitarian,negative,0.2779691340551825,-0.10473782664241363,0.39944673048327833,0.1420791903902916,-0.02347710404689787
4-factor,More crime,communitarian,negative,0.6666876935904149,-0.007319072577673599,0.829404548749583,-0.018848941080261084,0.034619820988804215
4-factor,Not enough border control,communitarian,negative,0.4307685026776553,-0.013939492692656708,0.6315923231717337,0.04090927251178206,0.12969838084805393
