item,term,estimate
it1,female,-0.0997255
it1,age_c,0.00534687
it1,age_c2,6.34517e-5
it1,edu_c,0.00243775
it1,edu3mid,0.0788118
it1,edu3high,0.126494
it1,sesself_employed,0.0677077
it1,sesmanager,0.131953
it1,seswhite_collar,0.0332518
it1,seshouse_person,0.0643827
it1,sesunemployed,-0.0121132
it1,sesretired,0.0758914
it1,sesstudent,0.188931
it1,urbanrural,-0.0355701
it1,urbansmall_town,-0.0335164
it1,rile_c,0.00923672
it1,rile_missing,-0.140833
it2,female,-0.171731
it2,age_c,-0.0019937
it2,age_c2,1.58393e-5
it2,edu_c,0.0023871
it2,edu3mid,0.127801
it2,edu3high,0.225837
it2,sesself_employed,0.129108
it2,sesmanager,0.179678
it2,seswhite_collar,0.0837418
it2,seshouse_person,0.0263427
it2,sesunemployed,-0.0527625
it2,sesretired,0.0247823
it2,sesstudent,0.171676
it2,urbanrural,-0.0450462
it2,urbansmall_town,-0.0257703
it2,rile_c,0.0273987
it2,rile_missing,-0.202118
it3,female,-0.115593
it3,age_c,0.0011073
it3,age_c2,2.29992e-5
it3,edu_c,0.00381618
it3,edu3mid,0.137562
it3,edu3high,0.241239
it3,sesself_employed,0.0819874
it3,sesmanager,0.171186
it3,seswhite_collar,0.0774687
it3,seshouse_person,0.0116673
it3,sesunemployed,-0.0609573
it3,sesretired,0.0263963
it3,sesstudent,0.166468
it3,urbanrural,-0.0985962
it3,urbansmall_town,-0.0550821
it3,rile_c,0.0179064
it3,rile_missing,-0.197634
it4,female,-0.0260364
it4,age_c,-6.43866e-4
it4,age_c2,5.47775e-5
it4,edu_c,0.0026213
it4,edu3mid,0.0912601
it4,edu3high,0.0915092
it4,sesself_employed,0.0271923
it4,sesmanager,0.0246698
it4,seswhite_collar,0.0034867
it4,seshouse_person,-0.0129125
it4,sesunemployed,-0.0290069
it4,sesretired,0.0421131
it4,sesstudent,0.0728067
it4,urbanrural,-0.0812141
it4,urbansmall_town,-0.0459822
it4,rile_c,0.00573292
it4,rile_missing,-0.159279
it5,female,0.0302576
it5,age_c,-0.00614664
it5,age_c2,-9.02967e-5
it5,edu_c,0.00686088
it5,edu3mid,0.173621
it5,edu3high,0.321092
it5,sesself_employed,0.0691259
it5,sesmanager,0.19411
it5,seswhite_collar,0.0725548
it5,seshouse_person,-0.0332198
it5,sesunemployed,-0.092068
it5,sesretired,-0.0173386
it5,sesstudent,0.243916
it5,urbanrural,-0.0534115
it5,urbansmall_town,-0.0306558
it5,rile_c,0.0100474
it5,rile_missing,-0.181469
it6,female,0.0580842
it6,age_c,-0.00240074
it6,age_c2,-4.58938e-5
it6,edu_c,0.0116982
it6,edu3mid,0.210675
it6,edu3high,0.396623
it6,sesself_employed,0.0918162
it6,sesmanager,0.22847
it6,seswhite_collar,0.0914274
it6,seshouse_person,-0.0322179
it6,sesunemployed,-0.0407406
it6,sesretired,0.0135837
it6,sesstudent,0.20607
it6,urbanrural,-0.142751
it6,urbansmall_town,-0.079545
it6,rile_c,-0.0138127
it6,rile_missing,-0.182713
it7,female,-0.0290645
it7,age_c,-0.0012876
it7,age_c2,-4.37834e-5
it7,edu_c,0.00282157
it7,edu3mid,0.175397
it7,edu3high,0.30244
it7,sesself_employed,0.11577
it7,sesmanager,0.173506
it7,seswhite_collar,0.0890038
it7,seshouse_person,0.00381186
it7,sesunemployed,-0.0735911
it7,sesretired,0.061216
it7,sesstudent,0.128299
it7,urbanrural,-0.0337123
it7,urbansmall_town,-0.0379951
it7,rile_c,0.0159455
it7,rile_missing,-0.184019
it9,female,0.0265098
it9,age_c,6.08861e-4
it9,age_c2,-1.80213e-4
it9,edu_c,-0.00195899
it9,edu3mid,-0.0939752
it9,edu3high,-0.263651
it9,sesself_employed,-0.157877
it9,sesmanager,-0.236893
it9,seswhite_collar,-0.119914
it9,seshouse_person,-0.0186913
it9,sesunemployed,0.225585
it9,sesretired,-0.0329241
it9,sesstudent,-0.198466
it9,urbanrural,0.0259565
it9,urbansmall_town,0.0362794
it9,rile_c,-0.0202276
it9,rile_missing,0.0717725
it10,female,-0.155985
it10,age_c,0.00553903
it10,age_c2,-3.59086e-4
it10,edu_c,0.00663934
it10,edu3mid,0.0851388
it10,edu3high,0.176973
it10,sesself_employed,0.119849
it10,sesmanager,0.14891
it10,seswhite_collar,0.0748784
it10,seshouse_person,-0.0213012
it10,sesunemployed,0.022126
it10,sesretired,0.0454653
it10,sesstudent,0.0242177
it10,urbanrural,-0.0205492
it10,urbansmall_town,-0.0205812
it10,rile_c,-0.0112353
it10,rile_missing,-0.0941352
it11,female,-0.053415700000000003
it11,age_c,0.00396032
it11,age_c2,-2.2236e-4
it11,edu_c,8.13571e-4
it11,edu3mid,-0.0666955
it11,edu3high,-0.198553
it11,sesself_employed,-0.0425631
it11,sesmanager,-0.141269
it11,seswhite_collar,-0.0791539
it11,seshouse_person,-0.0384679
it11,sesunemployed,0.0627536
it11,sesretired,0.0228047
it11,sesstudent,-0.180945
it11,urbanrural,0.0287088
it11,urbansmall_town,0.0156306
it11,rile_c,-0.0115465
it11,rile_missing,0.0530159
it12,female,0.00791971
it12,age_c,0.00280118
it12,age_c2,-1.57081e-4
it12,edu_c,0.0017848
it12,edu3mid,0.0495174
it12,edu3high,0.00143243
it12,sesself_employed,-0.0611756
it12,sesmanager,-0.0772413
it12,seswhite_collar,-0.0305259
it12,seshouse_person,-0.0575323
it12,sesunemployed,-0.00710326
it12,sesretired,0.00244349
it12,sesstudent,0.0219393
