item1,item2,r
it1,it2,0.274854
it10,it2,-0.116793
it11,it2,-0.274717
it12,it2,-0.20546
it13,it2,-0.20559
it14,it2,-0.121429
it1,it3,0.406472
it2,it3,0.322303
it10,it3,-0.0245052
it11,it3,-0.196701
it12,it3,-0.17184
it13,it3,-0.112579
it14,it3,-0.061227
it1,it4,0.316971
it2,it4,0.410863
it3,it4,0.364205
it10,it4,-0.0770406
it11,it4,-0.156724
it12,it4,-0.104525
it13,it4,-0.0881366
it14,it4,-0.0174116
it1,it5,0.196291
it2,it5,0.14192
it3,it5,0.192759
it4,it5,0.1019
it10,it5,-0.0106295
it11,it5,-0.173405
it12,it5,-0.0964483
it13,it5,-0.0341074
it14,it5,0.0573552
it1,it6,0.239713
it2,it6,0.201951
it3,it6,0.31282
it4,it6,0.253107
it5,it6,0.385282
it10,it6,0.0901064
it11,it6,-0.0856649
it12,it6,-0.039683
it13,it6,0.0205182
it14,it6,0.0354242
it1,it7,0.265831
it2,it7,0.27633
it3,it7,0.282665
it4,it7,0.295656
it5,it7,0.264091
it6,it7,0.296633
it10,it7,-0.053675
it11,it7,-0.221215
it12,it7,-0.153988
it13,it7,-0.129585
it14,it7,-0.0422113
it1,it9,-0.104401
it2,it9,-0.183563
it3,it9,-0.104468
it4,it9,-0.0291737
it5,it9,-0.147515
it6,it9,-0.0397105
it7,it9,-0.16052
it10,it9,0.284046
it11,it9,0.395477
it12,it9,0.299573
it13,it9,0.491212
it14,it9,0.274105
it1,it10,-0.0280999
it1,it11,-0.194335
it10,it11,0.455174
it1,it12,-0.193764
it10,it12,0.289913
it11,it12,0.340025
it1,it13,-0.116118
it10,it13,0.260741
it11,it13,0.381694
it12,it13,0.351125
it1,it14,-0.0675195
it10,it14,0.226113
it11,it14,0.291412
it12,it14,0.362485
it13,it14,0.500279
