item,link,term,contrast,estimate,se,p
it9,logit,age_c,dY/dX,-2.2147389479940658e-4,5.0943696608191876e-5,1.3774521641979384e-5
it9,logit,edu3,high - low,-0.09295054955022916,0.0018428465960814873,0
it9,logit,edu3,mid - low,-0.04323082776259407,0.0017502191340994335,1.0632252833324264e-134
it9,logit,female,1 - 0,0.005549187669024703,0.00120554073450597,4.163094198949048e-6
it9,probit,age_c,dY/dX,-2.180305913204444e-4,5.126922580680496e-5,2.1124608144891653e-5
it9,probit,edu3,high - low,-0.09247708973417225,0.0018405876367599328,0
it9,probit,edu3,mid - low,-0.043255168868777207,0.0017498376558788154,6.59510816491229e-135
it9,probit,female,1 - 0,0.005579123609285813,0.0012030288312908305,3.525388852119903e-6
it1,logit,age_c,dY/dX,0.0021497062778146497,6.357730436685615e-5,1.2929239998526849e-250
it1,logit,edu3,high - low,0.0833251986945839,0.00211439562682564,0
it1,logit,edu3,mid - low,0.034172164582889124,0.0018615526283995466,2.912291597970126e-75
it1,logit,female,1 - 0,-0.040752342882832984,0.0014687096224597091,1.8919053155501576e-169
it1,probit,age_c,dY/dX,0.002126035243151095,6.334331735212737e-5,5.6852304579281804e-247
it1,probit,edu3,high - low,0.08290151237959348,0.0021254660534399516,0
it1,probit,edu3,mid - low,0.03415571640651482,0.0018727124080063998,2.547448777014341e-74
it1,probit,female,1 - 0,-0.0405114280170067,0.001468379544648093,1.4993001767632016e-167
