item,label,by,group,share,n
it9,Unemployment,education,low,0.21969007444747835,85698
it9,Unemployment,education,mid,0.1770546459795463,191359
it9,Unemployment,education,high,0.11567352173315623,130998
it1,Peace,education,low,0.2640785082499008,85698
it1,Peace,education,mid,0.26890817782283555,191359
it1,Peace,education,high,0.3280431762316982,130998
it9,Unemployment,year,2004,0.18465895791395534,42722
it9,Unemployment,year,2005,0.1892638153635221,52514
it9,Unemployment,year,2006,0.17768658433688733,26074
it9,Unemployment,year,2007,0.13572141595638487,26046
it9,Unemployment,year,2008,0.1093028624192059,51984
it9,Unemployment,year,2009,0.14862737569591092,26045
it9,Unemployment,year,2010,0.16619680494026043,52143
it9,Unemployment,year,2011,0.16905021729557942,52233
it9,Unemployment,year,2012,0.18603938395525246,52204
it9,Unemployment,year,2013,0.1956305097738597,26090
it1,Peace,year,2004,0.3493984364027901,42722
it1,Peace,year,2005,0.3393952088966752,52514
it1,Peace,year,2006,0.3252665490526962,26074
it1,Peace,year,2007,0.34757736312677573,26046
it1,Peace,year,2008,0.2774699907663897,51984
it1,Peace,year,2009,0.28592820119024764,26045
it1,Peace,year,2010,0.2508678058416278,52143
it1,Peace,year,2011,0.22604483755480254,52233
it1,Peace,year,2012,0.2543100145582714,52204
it1,Peace,year,2013,0.2584515139900345,26090
