item,with,tetrachoric
Peace,Peace,1
Peace,Economic prosperity,0.2824263510563686
Peace,Democracy,0.42806220435719017
Peace,Social protection,0.3241439885051395
Peace,Freedom to travel,0.21773037221411343
Peace,Cultural diversity,0.2719420595820558
Peace,Stronger say in the world,0.3030021530204001
Peace,Unemployment,-0.07340788768778378
Peace,Bureaucracy,0.03816841705018167
Peace,Waste of money,-0.11466725054897085
Peace,Loss of cultural identity,-0.14303919124953995
Peace,More crime,-0.016860921423974287
Peace,Not enough border control,0.005687749212883297
Economic prosperity,Peace,0.2824263510563686
Economic prosperity,Economic prosperity,1
Economic prosperity,Democracy,0.3500930836607301
Economic prosperity,Social protection,0.4402310153011225
Economic prosperity,Freedom to travel,0.1818831955633559
Economic prosperity,Cultural diversity,0.2230778992221363
Economic prosperity,Stronger say in the world,0.2881581013029711
Economic prosperity,Unemployment,-0.19405949967243466
Economic prosperity,Bureaucracy,-0.11024337463085047
Economic prosperity,Waste of money,-0.30236561389330796
Economic prosperity,Loss of cultural identity,-0.18191578028989977
Economic prosperity,More crime,-0.18089945862905807
Economic prosperity,Not enough border control,-0.1208629716784462
Democracy,Peace,0.42806220435719017
Democracy,Economic prosperity,0.3500930836607301
Democracy,Democracy,1
Democracy,Social protection,0.3900536280268261
Democracy,Freedom to travel,0.21990060111007578
Democracy,Cultural diversity,0.33164823254419695
Democracy,Stronger say in the world,0.3076674055230593
Democracy,Unemployment,-0.10483886834024252
Democracy,Bureaucracy,-0.022351312505799185
Democracy,Waste of money,-0.20441476074758128
Democracy,Loss of cultural identity,-0.16187195769985033
Democracy,More crime,-0.08895374754872433
Democracy,Not enough border control,-0.056468097638516984
Social protection,Peace,0.3241439885051395
Social protection,Economic prosperity,0.4402310153011225
Social protection,Democracy,0.3900536280268261
Social protection,Social protection,1
Social protection,Freedom to travel,0.11804807926913172
Social protection,Cultural diversity,0.25456968397719415
Social protection,Stronger say in the world,0.28607776644804345
Social protection,Unemployment,-0.01504139214442777
Social protection,Bureaucracy,-0.08942124190438602
Social protection,Waste of money,-0.17374689378292976
Social protection,Loss of cultural identity,-0.08203101098694875
Social protection,More crime,-0.0790794018493485
Social protection,Not enough border control,-0.029203026452137192
Freedom to travel,Peace,0.21773037221411343
Freedom to travel,Economic prosperity,0.1818831955633559
Freedom to travel,Democracy,0.21990060111007578
Freedom to travel,Social protection,0.11804807926913172
Freedom to travel,Freedom to travel,1
Freedom to travel,Cultural diversity,0.42304029817895666
Freedom to travel,Stronger say in the world,0.28599656080109026
Freedom to travel,Unemployment,-0.17882095624059147
Freedom to travel,Bureaucracy,0.04264873031501978
Freedom to travel,Waste of money,-0.17264976826065317
Freedom to travel,Loss of cultural identity,-0.08514196458588238
Freedom to travel,More crime,-0.02318879734031661
Freedom to travel,Not enough border control,0.03810864886010528
Cultural diversity,Peace,0.2719420595820558
Cultural diversity,Economic prosperity,0.2230778992221363
Cultural diversity,Democracy,0.33164823254419695
Cultural diversity,Social protection,0.25456968397719415
Cultural diversity,Freedom to travel,0.42304029817895666
Cultural diversity,Cultural diversity,1
Cultural diversity,Stronger say in the world,0.33883908800171303
Cultural diversity,Unemployment,-0.040946006137901794
Cultural diversity,Bureaucracy,0.12610409703679806
Cultural diversity,Waste of money,-0.06754415496632633
Cultural diversity,Loss of cultural identity,-0.01025172610233678
Cultural diversity,More crime,0.026862574591864204
Cultural diversity,Not enough border control,0.07004024954400954
Stronger say in the world,Peace,0.3030021530204001
