var1,var2,r
age,edu,-0.139816
age,rile,0.0181705
edu,rile,0.00732736
female,rile,-0.0163229
it1,rile,0.0100455
it2,rile,0.0507754
it3,rile,0.0385773
it4,rile,0.0190084
it5,rile,0.0309639
it6,rile,-0.0477835
it7,rile,0.0261452
it9,rile,-0.0612247
it10,rile,-0.00602983
it11,rile,-0.036049200000000003
it12,rile,0.00687377
it13,rile,-0.0194411
it14,rile,0.0128023
age,urban_i,-0.0691278
edu,urban_i,0.146493
rile,urban_i,-0.0308711
female,urban_i,0.00491073
unemployed,urban_i,0.00756665
it1,urban_i,0.0188151
it2,urban_i,0.0354093
it3,urban_i,0.0574947
it4,urban_i,0.0468733
it5,urban_i,0.0646397
it6,urban_i,0.101232
it7,urban_i,0.0373621
it9,urban_i,-0.0330271
it10,urban_i,0.0112403
it11,urban_i,-0.0415385
it12,urban_i,0.0123404
it13,urban_i,-0.0429633
it14,urban_i,-0.0210157
age,female,0.0254006
edu,female,-0.035187
age,unemployed,-0.241116
edu,unemployed,-0.0666446
rile,unemployed,-0.0550634
female,unemployed,-0.0141863
it1,unemployed,-0.103697
it2,unemployed,-0.0854821
it3,unemployed,-0.0905825
it4,unemployed,-0.0244872
it5,unemployed,-0.0650498
it6,unemployed,-0.0757493
it7,unemployed,-0.11126
it9,unemployed,0.142414
it10,unemployed,-0.0591119
it11,unemployed,0.0391093
it12,unemployed,-0.00512989
it13,unemployed,-0.00224488
it14,unemployed,-0.0420934
age,it1,0.0798463
edu,it1,0.0826964
female,it1,-0.0859594
age,it2,-0.0843634
edu,it2,0.0996053
female,it2,-0.107943
it1,it2,0.279817
it10,it2,-0.118012
it11,it2,-0.307193
it12,it2,-0.19482
it13,it2,-0.1997
it14,it2,-0.130764
age,it3,-0.0198918
edu,it3,0.106028
female,it3,-0.0865121
it1,it3,0.430605
it2,it3,0.35674
it10,it3,-0.0170179
it11,it3,-0.195917
it12,it3,-0.165901
it13,it3,-0.0906803
it14,it3,-0.0417901
age,it4,-0.0325694
edu,it4,0.0241962
female,it4,-0.0208788
it1,it4,0.316671
it2,it4,0.426952
it3,it4,0.384147
it10,it4,-0.100999
it11,it4,-0.182218
it12,it4,-0.0942621
it13,it4,-0.0826037
it14,it4,-0.0263762
age,it5,-0.177332
edu,it5,0.192885
female,it5,-0.00226759
it1,it5,0.217967
it2,it5,0.185521
it3,it5,0.223085
it4,it5,0.119783
it10,it5,0.0309641
it11,it5,-0.176171
it12,it5,-0.0961535
it13,it5,-0.039722
it14,it5,0.0305409
age,it6,-0.112113
edu,it6,0.199134
female,it6,0.0114111
it1,it6,0.272376
it2,it6,0.224116
it3,it6,0.339817
it4,it6,0.255774
it5,it6,0.420121
it10,it6,0.123786
it11,it6,-0.0706241
it12,it6,-0.0284018
it13,it6,0.0271884
it14,it6,0.0620002
age,it7,-0.0557465
edu,it7,0.138524
female,it7,-0.0371453
it1,it7,0.29778
it2,it7,0.297678
it3,it7,0.313375
it4,it7,0.291963
it5,it7,0.288275
it6,it7,0.339061
it10,it7,-0.0015855
it11,it7,-0.188289
it12,it7,-0.12652
it13,it7,-0.0890253
it14,it7,0.00621861
age,it9,0.0401468
edu,it9,-0.133152
female,it9,0.0194576
it1,it9,-0.0807101
it2,it9,-0.2142
it3,it9,-0.107092
it4,it9,-0.0245129
it5,it9,-0.174744
it6,it9,-0.0472598
it7,it9,-0.152547
it10,it9,0.238447
it11,it9,0.408442
it12,it9,0.305595
it13,it9,0.50945
it14,it9,0.30374
age,it10,0.0887632
edu,it10,0.177996
female,it10,-0.110171
it1,it10,0.0407301
age,it11,0.127439
edu,it11,-0.0128775
female,it11,-0.0407613
it1,it11,-0.122007
it10,it11,0.500355
age,it12,0.0219398
edu,it12,-0.00650019
female,it12,-0.014131
it1,it12,-0.158273
it10,it12,0.290054
it11,it12,0.348075
age,it13,0.121537
edu,it13,-0.0540824
female,it13,-5.79912e-4
it1,it13,-0.0294842
it10,it13,0.304775
it11,it13,0.439282
it12,it13,0.356673
age,it14,0.0887888
edu,it14,-0.00535063
female,it14,-0.0352262
it1,it14,0.011269
it10,it14,0.280204
it11,it14,0.359697
it12,it14,0.380062
it13,it14,0.545743
