variable,kind,level,value
age,quantile,0.005,15
age,quantile,0.015,16
age,quantile,0.025,17
age,quantile,0.035,18
age,quantile,0.045,19
age,quantile,0.055,20
age,quantile,0.065,20
age,quantile,0.075,21
age,quantile,0.085,22
age,quantile,0.095,23
age,quantile,0.105,23
age,quantile,0.115,24
age,quantile,0.125,25
age,quantile,0.135,26
age,quantile,0.145,26
age,quantile,0.155,27
age,quantile,0.165,28
age,quantile,0.175,28
age,quantile,0.185,29
age,quantile,0.195,30
age,quantile,0.205,30
age,quantile,0.215,31
age,quantile,0.225,32
age,quantile,0.235,32
age,quantile,0.245,33
age,quantile,0.255,34
age,quantile,0.265,34
age,quantile,0.275,35
age,quantile,0.285,35
age,quantile,0.295,36
age,quantile,0.305,36
age,quantile,0.315,37
age,quantile,0.325,38
age,quantile,0.335,38
age,quantile,0.345,39
age,quantile,0.355,39
age,quantile,0.365,40
age,quantile,0.375,40
age,quantile,0.385,41
age,quantile,0.395,42
age,quantile,0.405,42
age,quantile,0.415,43
age,quantile,0.425,43
age,quantile,0.435,44
age,quantile,0.445,45
age,quantile,0.455,45
age,quantile,0.465,46
age,quantile,0.475,46
age,quantile,0.485,47
age,quantile,0.495,48
age,quantile,0.505,48
age,quantile,0.515,49
age,quantile,0.525,49
age,quantile,0.535,50
age,quantile,0.545,50
age,quantile,0.555,51
age,quantile,0.565,52
age,quantile,0.575,52
age,quantile,0.585,53
age,quantile,0.595,53
age,quantile,0.605,54
age,quantile,0.615,54
age,quantile,0.625,55
age,quantile,0.635,56
age,quantile,0.645,56
age,quantile,0.655,57
age,quantile,0.665,57
age,quantile,0.675,58
age,quantile,0.685,59
age,quantile,0.695,59
age,quantile,0.705,60
age,quantile,0.715,60
age,quantile,0.725,61
age,quantile,0.735,62
age,quantile,0.745,62
age,quantile,0.755,63
age,quantile,0.765,63
age,quantile,0.775,64
age,quantile,0.785,65
age,quantile,0.795,65
age,quantile,0.805,66
age,quantile,0.815,67
age,quantile,0.825,67
age,quantile,0.835,68
age,quantile,0.845,69
age,quantile,0.855,69
age,quantile,0.865,70
age,quantile,0.875,71
age,quantile,0.885,71
age,quantile,0.895,72
age,quantile,0.905,73
age,quantile,0.915,74
age,quantile,0.925,75
age,quantile,0.935,76
age,quantile,0.945,77
age,quantile,0.955,78
age,quantile,0.965,79
age,quantile,0.975,81
age,quantile,0.985,83
age,quantile,0.995,87
edu,quantile,0.005,9
edu,quantile,0.015,11
edu,quantile,0.025,12
edu,quantile,0.035,12
edu,quantile,0.045,12
edu,quantile,0.055,13
edu,quantile,0.065,14
edu,quantile,0.075,14
edu,quantile,0.085,14
edu,quantile,0.095,14
edu,quantile,0.105,14
edu,quantile,0.115,14
edu,quantile,0.125,14
edu,quantile,0.135,15
edu,quantile,0.145,15
edu,quantile,0.155,15
edu,quantile,0.165,15
edu,quantile,0.175,15
edu,quantile,0.185,15
edu,quantile,0.195,15
edu,quantile,0.205,15
edu,quantile,0.215,16
edu,quantile,0.225,16
edu,quantile,0.235,16
edu,quantile,0.245,16
edu,quantile,0.255,16
edu,quantile,0.265,16
edu,quantile,0.275,16
edu,quantile,0.285,16
edu,quantile,0.295,16
edu,quantile,0.305,17
edu,quantile,0.315,17
edu,quantile,0.325,17
edu,quantile,0.335,17
edu,quantile,0.345,17
edu,quantile,0.355,17
edu,quantile,0.365,17
edu,quantile,0.375,17
edu,quantile,0.385,17
edu,quantile,0.395,18
edu,quantile,0.405,18
edu,quantile,0.415,18
edu,quantile,0.425,18
edu,quantile,0.435,18
edu,quantile,0.445,18
edu,quantile,0.455,18
edu,quantile,0.465,18
edu,quantile,0.475,18
edu,quantile,0.485,18
edu,quantile,0.495,18
edu,quantile,0.505,18
edu,quantile,0.515,18
edu,quantile,0.525,18
edu,quantile,0.535,18
edu,quantile,0.545,18
edu,quantile,0.555,18
edu,quantile,0.565,18
edu,quantile,0.575,18
