category,term,estimate
self_employed,(Intercept),-5.0252
self_employed,age,0.0718968
self_employed,I(age^2),-4.54831e-4
self_employed,edu,0.10348
self_employed,female,-0.469075
self_employed,urbanrural,0.165934
self_employed,urbansmall_town,-0.105938
manager,(Intercept),-6.11629
manager,age,0.0793371
manager,I(age^2),-7.36648e-4
manager,edu,0.19125
manager,female,-0.0107344
manager,urbanrural,-0.57342
manager,urbansmall_town,-0.354226
white_collar,(Intercept),-3.06407
white_collar,age,0.0303356
white_collar,I(age^2),-3.8046e-4
white_collar,edu,0.0988199
white_collar,female,0.426395
white_collar,urbanrural,-0.443847
white_collar,urbansmall_town,-0.229611
house_person,(Intercept),1.20676
house_person,age,-0.158053
house_person,I(age^2),0.00204969
house_person,edu,-0.11316
house_person,female,3.12017
house_person,urbanrural,0.0191828
house_person,urbansmall_town,-0.206195
retired,(Intercept),-9.00961
retired,age,0.082516
retired,I(age^2),0.00110056
retired,edu,0.0567314
retired,female,0.245354
retired,urbanrural,0.0139855
retired,urbansmall_town,0.0233718
student,(Intercept),5.89589
student,age,-3.46973
student,I(age^2),0.00305474
student,edu,3.28972
student,female,0.331579
student,urbanrural,-0.518602
student,urbansmall_town,-0.244706
