outcome,term,value
cosmo,age10,-0.009211
cosmo,female,0.009179
cosmo,edu4e16_19,0.049917
cosmo,edu4e20plus,0.1236
cosmo,edu4studying,0.161898
util,age10,-0.001948
util,female,-0.013303
util,edu4e16_19,0.006611
util,edu4e20plus,0.013314
util,edu4studying,0.02398
comm,age10,0.005051
comm,female,0.017412
comm,edu4e16_19,-0.042841
comm,edu4e20plus,-0.107172
comm,edu4studying,-0.119948
lib,age10,0.006108
lib,female,-0.013288
lib,edu4e16_19,-0.013687
lib,edu4e20plus,-0.029741
lib,edu4studying,-0.06593
mention_logit,age10,-0.094727
mention_logit,female,-0.33465
mention_logit,edu4e16_19,0.570313
mention_logit,edu4e20plus,1.114613
mention_logit,edu4studying,0.608924
