seed,outcome,sim_unemp,sim_growth
301,cosmo,-0.005079104877417119,5.186833695998756e-4
301,util,-0.00032560996892631834,0.002420813332329066
301,comm,0.006578225833856818,-0.001774452911445285
301,lib,4.626070841495605e-4,-0.0011184598887438967
301,pos,-0.005404714903960022,0.0029394969994273345
301,neg,0.007040832966941362,-0.0028929130796671735
302,cosmo,-0.0034545627284460765,0.0014742213666818888
302,util,-4.297931643749315e-4,0.002285620024194154
302,comm,0.005625677499500434,-0.002256843712274845
302,lib,3.5417430907909485e-4,-3.551550518288732e-4
302,pos,-0.0038843553338170933,0.0037598421127913307
302,neg,0.005979851515940617,-0.0026119989860880002
304,cosmo,-0.0039170909689912195,0.0016915206366839692
304,util,-9.32769883135772e-4,0.0020055752625892345
304,comm,0.005735770242081665,-0.0022883259951235174
304,lib,-4.8711790760416225e-4,-1.6673997388547e-4
304,pos,-0.004849860298342277,0.0036970963333156004
304,neg,0.0052486533504210635,-0.00245506609396871
305,cosmo,-0.005298155155447892,-9.245428955284941e-4
305,util,-6.767579131751185e-4,0.002158893193714965
305,comm,0.00625611444369434,-0.0018153432771120834
305,lib,5.934320940915627e-4,-1.6428315386117062e-4
305,pos,-0.005974913498768521,0.0012343496666380731
305,neg,0.006849546333224946,-0.0019796266869285266
306,cosmo,-0.0027754752561006965,-7.147928737631533e-4
306,util,-8.234365294502079e-4,0.0013317534665363083
306,comm,0.005564927721375625,-0.0011442598836674887
306,lib,-9.577063989087806e-4,-5.804788250849429e-4
306,pos,-0.0035989119765872653,6.169606697304117e-4
306,neg,0.0046072218367333335,-0.0017247385995717637
307,cosmo,-0.00391197707832324,-4.95507211734959e-4
307,util,-0.0013830963489068347,0.0015244733498520084
307,comm,0.006171907454168052,-6.971322160875461e-4
307,lib,-1.247031138530957e-4,-1.322065868032596e-4
307,pos,-0.005295073482160193,0.001028966593848122
307,neg,0.0060472048555126915,-8.293388941881814e-4
308,cosmo,-0.004521109585920085,1.3875893091136552e-4
308,util,-0.0011744215262099607,3.5127852921206567e-4
308,comm,0.006206988306081433,-0.0012661168775010341
308,lib,0.001241151863068358,2.4493315904116844e-4
308,pos,-0.005695530775849771,4.90037907492165e-4
308,neg,0.00744813993361176,-0.0010211839669549058
309,cosmo,-0.004757457056284079,0.0016644023884210852
309,util,-0.001640579200397926,0.0016872385471770983
309,comm,0.00538339625653161,-0.0028417389085743697
309,lib,8.269531710595663e-5,-5.372010980583522e-4
309,pos,-0.006398036257690633,0.003351640609677654
309,neg,0.005466090984343376,-0.0033789404653753086
310,cosmo,-0.005894921747722535,-4.003410338520103e-4
310,util,-4.8308621102513316e-4,0.0012392686771926693
310,comm,0.00684540151239757,-0.0010462018939502704
310,lib,-1.7994507908785263e-4,-4.940325852244887e-4
310,pos,-0.006378008134806844,8.38928316937218e-4
310,neg,0.0066654567180548215,-0.0015402355802874822
311,cosmo,-0.006109804518073581,-6.484571414798642e-4
311,util,-6.677062278215962e-4,0.0014197122690774767
311,comm,0.007048162008085624,-0.0010723430405981207
311,lib,5.743249555454179e-4,4.920384041569703e-4
311,pos,-0.006777511153197319,7.712548489935107e-4
311,neg,0.007622487237543896,-5.803040502801182e-4
312,cosmo,-0.002542571926350115,-6.390061854347021e-4
312,util,-6.424390578675277e-5,0.0021620723824697084
312,comm,0.004347701879912261,-0.0013528503128770388
312,lib,7.966631163513491e-4,-5.9133397025495384e-5
312,pos,-0.0026068157045530285,0.001523066404291636
312,neg,0.005144364996922383,-0.0014119838736994649
313,cosmo,-0.004884267808894927,-7.434012848982588e-4
313,util,-9.778164673663122e-4,0.0023658105946975354
313,comm,0.006509859121598985,-0.0020185026169102617
313,lib,0.0011582320185302404,-3.2320183590291265e-4
313,pos,-0.005862084417904172,0.0016224092203654718
313,neg,0.007668091904159193,-0.002341703904490877
314,cosmo,-0.003570062003117564,0.0018978512889071485
314,util,-9.646734439261918e-4,0.0014878717756793855
314,comm,0.005279697658150328,-0.002540177244385904
314,lib,1.6083475358527323e-4,-7.881018622629671e-4
314,pos,-0.004534735148908441,0.0033857230803706656
314,neg,0.005440531423775046,-0.003328279777816616
315,cosmo,-0.004209442259631737,-5.438755520949828e-4
315,util,-9.804300009026282e-4,0.0015567067060801598
315,comm,0.006578535110669499,-5.726235003956515e-4
315,lib,5.017983633800834e-4,3.716980886688392e-4
315,pos,-0.0051898724553620474,0.001012831439398843
315,neg,0.007080333706793394,-2.0092431061076042e-4
316,cosmo,-0.0037291605708670065,8.668008663840977e-5
316,util,-1.8142759679739458e-4,0.0017960032295757419
316,comm,0.005088986113607662,-0.0018648241487525525
316,lib,-6.389494841555988e-4,-1.5581277459829365e-4
316,pos,-0.003910587260116719,0.0018826834380139248
316,neg,0.004450037058849006,-0.0020206370495176613
317,cosmo,-0.0041637183096761565,9.0139829938775e-4
317,util,-0.0010630786523476725,0.0011765652185375252
317,comm,0.006968933941986959,-0.0016688719055713529
317,lib,-2.3601384009850596e-4,-8.850317592346246e-4
317,pos,-0.005226797027632144,0.0020779636393565967
317,neg,0.006732919660469636,-0.002553903536632837
318,cosmo,-0.003136955985568979,0.0011184926290460394
318,util,-9.940016139491094e-4,0.0017419716686286483
318,comm,0.005539477988944643,-0.0030471008461020635
318,lib,-9.583124062259463e-6,8.565196697836396e-5
318,pos,-0.004130957622427408,0.0028604643465653975
318,neg,0.005529894545696812,-0.002961449597647571
319,cosmo,-0.004824167701215698,6.45688174625195e-5
319,util,-5.699929376372577e-4,0.0020621185303531485
319,comm,0.005961418173707974,-0.002718956714829414
319,lib,6.372360521339773e-4,5.305873549780798e-4
319,pos,-0.005394160487662608,0.002126687605510685
319,neg,0.006598654161688518,-0.002188370132253882
320,cosmo,-0.002979570315929445,-0.001529128808833151
320,util,-3.29844559979427e-4,0.0018025624508565018
