seed,outcome,sim_unemp,sim_growth
201,cosmo,-0.003843,6.068e-4
201,util,2.213e-4,0.001621
201,comm,0.00535,-0.002082
201,lib,-7.313e-5,3.795e-4
201,pos,-0.003621,0.002227
201,neg,0.005277,-0.001702
202,cosmo,-0.003196,-7.827e-4
202,util,-0.001124,0.002697
202,comm,0.005261,-0.001672
202,lib,6.246e-5,-1.257e-4
202,pos,-0.00432,0.001914
202,neg,0.005323,-0.001797
203,cosmo,-0.003117,-3.385e-4
203,util,-0.001366,0.00169
203,comm,0.005053,-7.888e-4
203,lib,-2.66e-5,-3.407e-4
203,pos,-0.004483,0.001352
203,neg,0.005026,-0.001129
204,cosmo,-0.004432,-6.773e-4
204,util,-1.176e-4,0.00183
204,comm,0.005562,-0.001712
204,lib,7.692e-4,1.37e-4
204,pos,-0.00455,0.001153
204,neg,0.006331,-0.001575
205,cosmo,-0.005409,-2.634e-4
205,util,-1.851e-4,0.001876
205,comm,0.006044,-0.001903
205,lib,0.001297,5.6e-4
205,pos,-0.005594,0.001612
205,neg,0.007342,-0.001343
206,cosmo,-0.004037,0.001081
206,util,-4.525e-4,0.001803
206,comm,0.004904,-0.001776
206,lib,4.063e-4,-2.471e-4
206,pos,-0.00449,0.002884
206,neg,0.005311,-0.002023
207,cosmo,-0.00355,3.295e-4
207,util,8.076e-4,0.0012
207,comm,0.004176,-0.002001
207,lib,-1.853e-4,2.357e-4
207,pos,-0.002742,0.00153
207,neg,0.003991,-0.001765
208,cosmo,-0.003973,2.697e-4
208,util,1.691e-4,0.001477
208,comm,0.004438,-0.002319
208,lib,1.105e-4,-4.581e-4
208,pos,-0.003804,0.001746
208,neg,0.004549,-0.002777
209,cosmo,-0.004966,3.73e-4
209,util,-0.001077,0.001884
209,comm,0.006351,-5.716e-4
209,lib,6.19e-4,-6.639e-4
209,pos,-0.006043,0.002257
209,neg,0.00697,-0.001235
210,cosmo,-0.003313,0.001618
210,util,-8.238e-4,0.001229
210,comm,0.00575,-0.001188
210,lib,-5.179e-4,-3.451e-4
210,pos,-0.004137,0.002846
210,neg,0.005232,-0.001533
211,cosmo,-0.004087,-1.944e-4
211,util,-0.001583,0.001678
211,comm,0.005579,-0.002191
211,lib,7.069e-4,2.116e-4
211,pos,-0.00567,0.001484
211,neg,0.006286,-0.001979
212,cosmo,-0.004828,-6.317e-4
212,util,-1.908e-4,0.001419
212,comm,0.006007,-4.489e-4
212,lib,4.644e-4,-3.244e-4
212,pos,-0.005019,7.871e-4
212,neg,0.006472,-7.733e-4
213,cosmo,-0.003474,-0.001264
213,util,-0.001115,0.001521
213,comm,0.003794,-0.001791
213,lib,0.001146,0.00109
213,pos,-0.00459,2.57e-4
213,neg,0.00494,-7.013e-4
214,cosmo,-0.003088,8.245e-4
214,util,-0.002058,0.001226
214,comm,0.006517,-0.001115
214,lib,4.069e-4,-3.37e-4
214,pos,-0.005145,0.002051
214,neg,0.006924,-0.001452
215,cosmo,-0.00275,0.001559
215,util,-4.61e-4,0.001589
215,comm,0.004829,-0.002695
215,lib,-2.3e-4,-1.571e-5
215,pos,-0.003211,0.003148
215,neg,0.004599,-0.002711
216,cosmo,-0.0034390000000000002,7.73e-5
216,util,-1.555e-4,0.002131
216,comm,0.004901,-0.001362
216,lib,-3.417e-4,-9.831e-5
216,pos,-0.003594,0.002208
216,neg,0.004559,-0.00146
217,cosmo,-0.004211,2.864e-5
217,util,-9.574e-4,0.001228
217,comm,0.005609,-0.001076
217,lib,5.835e-4,-1.523e-4
217,pos,-0.005168,0.001257
217,neg,0.006192,-0.001228
218,cosmo,-0.004411,-6.352e-4
218,util,-5.875e-4,0.001998
218,comm,0.006223,-0.001123
218,lib,-1.871e-4,-4.905e-4
218,pos,-0.004999,0.001363
218,neg,0.006036,-0.001614
219,cosmo,-0.003418,4.373e-4
219,util,-5.58e-5,0.001537
219,comm,0.005475,-0.001142
219,lib,-0.001146,-6.591e-5
219,pos,-0.003474,0.001975
219,neg,0.004329,-0.001208
220,cosmo,-0.004181,-7.998e-4
220,util,-0.001408,0.001459
220,comm,0.005682,-0.001078
220,lib,0.001178,6.946e-4
220,pos,-0.005589,6.596e-4
220,neg,0.00686,-3.831e-4
