pid,cntry,year,w1,age,female,edu4,cosmo,util,comm,lib,pos,neg,unemp,growth,bailout
1,AT,2004,0.779,31,1,e16_19,0,0.333333,0,0.666667,0.333333,0.666667,5.829999924,2.735120222,0
2,AT,2004,0.7674,30,1,le15,0,0,1,0,0,1,5.829999924,2.735120222,0
3,AT,2004,0.6705,21,1,e16_19,0.75,0,0.25,0,0.75,0.25,5.829999924,2.735120222,0
4,AT,2004,0.7674,30,0,e20plus,0.5,0,0,0.5,0.5,0.5,5.829999924,2.735120222,0
5,AT,2004,0.6807,22,1,e16_19,0,0,0,1,0,1,5.829999924,2.735120222,0
6,AT,2004,0.8028,33,0,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
7,AT,2004,0.7228,26,1,le15,0.25,0,0.75,0,0.25,0.75,5.829999924,2.735120222,0
8,AT,2004,1.0675,52,1,e20plus,1,0,0,0,1,0,5.829999924,2.735120222,0
9,AT,2004,0.8653,38,1,e16_19,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
10,AT,2004,0.8149,34,1,studying,0.833333,0,0.166667,0,0.833333,0.166667,5.829999924,2.735120222,0
11,AT,2004,1.168,58,1,e20plus,0,0,0,1,0,1,5.829999924,2.735120222,0
12,AT,2004,1.168,58,0,e16_19,0,0,0,0,0,0,5.829999924,2.735120222,0
13,AT,2004,0.8028,33,1,le15,0.666667,0,0.333333,0,0.666667,0.333333,5.829999924,2.735120222,0
14,AT,2004,1.3169,66,1,e20plus,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
15,AT,2004,0.7674,30,1,le15,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.829999924,2.735120222,0
16,AT,2004,0.8149,34,0,e16_19,0,0.5,0.5,0,0.5,0.5,5.829999924,2.735120222,0
17,AT,2004,1.2218,61,0,e20plus,0.5,0,0.5,0,0.5,0.5,5.829999924,2.735120222,0
18,AT,2004,0.8784,39,0,studying,0,0.333333,0.166667,0.5,0.333333,0.666667,5.829999924,2.735120222,0
19,AT,2004,0.7337,27,0,e20plus,0.333333,0,0.333333,0.333333,0.333333,0.666667,5.829999924,2.735120222,0
20,AT,2004,0.8149,34,1,e16_19,0.8,0,0,0.2,0.8,0.2,5.829999924,2.735120222,0
21,AT,2004,1.6247,80,1,le15,0,0,1,0,0,1,5.829999924,2.735120222,0
22,AT,2004,1.1506,57,0,e16_19,0.5,0.25,0.25,0,0.75,0.25,5.829999924,2.735120222,0
23,AT,2004,0.9051,41,1,e16_19,0.5,0,0.25,0.25,0.5,0.5,5.829999924,2.735120222,0
24,AT,2004,0.8653,38,1,e20plus,0.5,0.5,0,0,1,0,5.829999924,2.735120222,0
25,AT,2004,0.9188,42,0,studying,0.75,0,0,0.25,0.75,0.25,5.829999924,2.735120222,0
26,AT,2004,1.0205,49,1,e16_19,0.333333,0,0.666667,0,0.333333,0.666667,5.829999924,2.735120222,0
