axis,level,n,claim_share,sig_share,median_r_ca,class
construction,count,217152,70.6343943412909,58.44984158561745,-0.12072256718582913,estimand
construction,share,220272,67.56464734510061,57.64282341831917,-0.13287292667366907,estimand
copredictor,none,218712,70.07022934269725,59.11015399246497,-0.1343174514126142,estimand
copredictor,other,218712,68.10691685870003,56.97675481912287,-0.11942896476258945,estimand
estimator,fe_country,134592,85.51622681883025,71.5659177365668,-0.22875161997336757,estimand
estimator,fe_twoway,134592,80.1756419400856,48.730979553019495,-0.14213964011695532,estimand
estimator,pooled_cl,134592,37.02894674274845,49.79493580599144,0.06469696061056832,estimand
estimator,re,33648,87.2681883024251,74.19757489300999,-0.2240971614774557,estimand
outcome,mcomm,72904,69.59837594645013,60.4095797212773,-0.132948753301541,estimand
outcome,mcosmo,72904,67.32140897618787,54.20278722703829,-0.11120742224890179,estimand
outcome,mlib,72904,57.538681005157464,46.32667617689016,-0.040612507180547444,estimand
outcome,mneg,72904,66.90167892022386,66.6931855590914,-0.14997491483043748,estimand
outcome,mpos,72904,73.54328980577198,61.192801492373526,-0.16589298371112288,estimand
outcome,mutil,72904,79.62800395040053,59.43569625809283,-0.1674789756067091,estimand
predictor,growth,74880,71.20192307692308,44.172008547008545,-0.09299669725821769,estimand
predictor,unemp,362544,68.65208085087603,60.90846904099916,-0.13864785990695533,estimand
reg_weight,n_cell,100944,66.9083848470439,56.78792201616738,-0.11305383224464377,estimand
reg_weight,n_eff,100944,67.00348708194642,57.09106038991917,-0.11419379240931993,estimand
reg_weight,none,134592,74.90786970993818,62.115133143128865,-0.16808500923098252,estimand
reg_weight,pop,100944,65.59478522745285,54.82247582818196,-0.10114051326117572,estimand
sample,all,90480,78.91025641025641,66.90981432360743,-0.1731837620469872,estimand
sample,no_GR_ES,90480,72.09549071618036,57.081122900088424,-0.12391558999027366,estimand
sample,no_bailout,90480,60.54376657824933,41.79818744473917,-0.05195996577934199,estimand
sample,y2004_2008,75504,60.272303454121634,52.574698029243486,-0.0826177290186342,estimand
sample,y2009_2013,90480,72.16180371352785,70.94827586206897,-0.2313057094187821,estimand
cell_weight,design,217152,69.10366931918655,57.97874300029472,-0.1258387640293545,measurement
cell_weight,unweighted,220272,69.07369070966804,58.10724921914724,-0.1270755736649095,measurement
item_set,all,220272,70.17959613568678,59.7711011839907,-0.14488320496137835,measurement
item_set,un,217152,67.98187444739169,56.290985116416145,-0.1111223936706055,measurement
measure,es_1574_act,74880,67.05395299145299,61.26869658119658,-0.128953128353551,measurement
measure,es_1574_tips,59904,71.29073183760684,61.93910256410257,-0.16473539483261093,measurement
measure,es_2064_pop,74880,69.53792735042735,58.65117521367521,-0.1365331813388698,measurement
measure,es_2564_lfs,74880,68.57371794871796,61.43162393162393,-0.13593897737873867,measurement
measure,es_growth,37440,71.69871794871796,43.14903846153847,-0.09326968869525576,measurement
measure,wb_growth,37440,70.7051282051282,45.19497863247863,-0.09250064354629606,measurement
measure,wb_nat,78000,67.38461538461539,61.43589743589744,-0.13312418422448138,measurement
noop,drop,144768,69.35925066312998,58.43003978779841,-0.12908614455999767,measurement
noop,mi_amelia,1560,66.02564102564102,61.410256410256416,-0.1758121251713401,measurement
noop,mi_mice,1560,66.15384615384615,61.282051282051285,-0.17149082068047466,measurement
noop,split,144768,69.1976127320955,58.39964633068081,-0.12830730641683638,measurement
noop,zero,144768,68.77348585322723,57.22949823165341,-0.12133810461513225,measurement
pred_form,log,179712,69.18180199430199,61.502849002849004,-0.14315675389508595,estimation
pred_form,raw,257712,69.02356118457813,55.63109207177004,-0.11595488980645012,estimation
se,clustered,218712,69.08857310069864,48.999597644390796,-0.10416709589531473,estimation
se,conventional,218712,69.08857310069864,67.08731116719704,-0.16330660896840793,estimation
