axis,level
outcome,mcomm
outcome,mcosmo
outcome,mlib
outcome,mneg
outcome,mpos
outcome,mutil
predictor,growth
predictor,unemp
copredictor,none
copredictor,other
estimator,fe_country
estimator,fe_twoway
estimator,pooled_cl
estimator,re
sample,all
sample,no_bailout
sample,no_GR_ES
sample,y2004_2008
sample,y2009_2013
reg_weight,n_cell
reg_weight,n_eff
reg_weight,none
reg_weight,pop
construction,count
construction,rate
construction,share
item_set,all
item_set,un
noop,drop
noop,mi_amelia
noop,mi_mice
noop,split
noop,zero
cell_weight,design
cell_weight,unweighted
measure,es_1574_act
measure,es_1574_tips
measure,es_2064_pop
measure,es_2564_lfs
measure,es_growth
measure,wb_growth
measure,wb_nat
pred_form,log
pred_form,raw
family,beta
family,gaussian
se,clustered
se,conventional
