outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mcosmo,raw,none,fe_twoway,all,none,-0.24179591550885504
mutil,raw,none,fe_twoway,all,none,-0.2150496912288071
mcomm,raw,none,fe_twoway,all,none,-0.4954287123834182
mlib,raw,none,fe_twoway,all,none,-0.01339933604998411
mpos,raw,none,fe_twoway,all,none,-0.3105261599464237
mneg,raw,none,fe_twoway,all,none,-0.3948932650819841
mcosmo,raw,none,fe_twoway,all,n_cell,-0.19532005773215197
mutil,raw,none,fe_twoway,all,n_cell,-0.24076517123109076
mcomm,raw,none,fe_twoway,all,n_cell,-0.49908584814671614
mlib,raw,none,fe_twoway,all,n_cell,0.0493813919957547
mpos,raw,none,fe_twoway,all,n_cell,-0.28207063683885686
mneg,raw,none,fe_twoway,all,n_cell,-0.35969403036359543
mcosmo,raw,none,fe_country,all,none,-0.4039314942007778
mutil,raw,none,fe_country,all,none,-0.41679944997043905
mcomm,raw,none,fe_country,all,none,-0.5489339334436439
mlib,raw,none,fe_country,all,none,-0.3632281705545172
mpos,raw,none,fe_country,all,none,-0.5099815870179246
mneg,raw,none,fe_country,all,none,-0.5707355068137948
mcosmo,raw,none,fe_country,all,n_cell,-0.3653128126362642
mutil,raw,none,fe_country,all,n_cell,-0.4333360649269634
mcomm,raw,none,fe_country,all,n_cell,-0.5438216494611522
mlib,raw,none,fe_country,all,n_cell,-0.31827225380395363
mpos,raw,none,fe_country,all,n_cell,-0.488340628745757
mneg,raw,none,fe_country,all,n_cell,-0.5475746613613338
mcosmo,raw,none,re,all,none,-0.3673126292715653
mutil,raw,none,re,all,none,-0.3868775233306233
mcomm,raw,none,re,all,none,-0.5140581042037251
mlib,raw,none,re,all,none,-0.3282466304537843
mpos,raw,none,re,all,none,-0.4740674629723709
mneg,raw,none,re,all,none,-0.5270782056322535
mcosmo,raw,none,pooled_cl,all,none,-0.06344078421883068
mutil,raw,none,pooled_cl,all,none,-0.06202635415817751
mcomm,raw,none,pooled_cl,all,none,-0.02964309014817583
mlib,raw,none,pooled_cl,all,none,0.0717423983005743
mpos,raw,none,pooled_cl,all,none,-0.07513578028855034
mneg,raw,none,pooled_cl,all,none,0.02555642500385848
mcosmo,raw,none,pooled_cl,all,n_cell,0.00982521465775305
mutil,raw,none,pooled_cl,all,n_cell,-0.03328733824325601
mcomm,raw,none,pooled_cl,all,n_cell,-0.00516759318161978
mlib,raw,none,pooled_cl,all,n_cell,0.13779851281820985
mpos,raw,none,pooled_cl,all,n_cell,-0.00758291959509614
mneg,raw,none,pooled_cl,all,n_cell,0.08530538473821649
mcosmo,raw,none,fe_twoway,y2004_2008,none,-0.3114796932879816
mutil,raw,none,fe_twoway,y2004_2008,none,-0.0229638680072154
mcomm,raw,none,fe_twoway,y2004_2008,none,-0.3721674063216062
mlib,raw,none,fe_twoway,y2004_2008,none,-0.24168932855239383
mpos,raw,none,fe_twoway,y2004_2008,none,-0.31377765957359327
mneg,raw,none,fe_twoway,y2004_2008,none,-0.38166357423838754
mcosmo,raw,none,fe_twoway,y2004_2008,n_cell,-0.27885198806430744
mutil,raw,none,fe_twoway,y2004_2008,n_cell,-0.03088371263804571
mcomm,raw,none,fe_twoway,y2004_2008,n_cell,-0.37886979774599006
mlib,raw,none,fe_twoway,y2004_2008,n_cell,-0.19970587280759045
mpos,raw,none,fe_twoway,y2004_2008,n_cell,-0.2790579248902106
mneg,raw,none,fe_twoway,y2004_2008,n_cell,-0.36911333693478426
mcosmo,raw,none,fe_country,y2004_2008,none,-0.4790864157743248
mutil,raw,none,fe_country,y2004_2008,none,0.21567295343900905
mcomm,raw,none,fe_country,y2004_2008,none,-0.48064869158660206
mlib,raw,none,fe_country,y2004_2008,none,-0.26802786213074226
mpos,raw,none,fe_country,y2004_2008,none,-0.3926606658359353
mneg,raw,none,fe_country,y2004_2008,none,-0.4684671378316622
mcosmo,raw,none,fe_country,y2004_2008,n_cell,-0.45005724377883544
mutil,raw,none,fe_country,y2004_2008,n_cell,0.180817109947469
mcomm,raw,none,fe_country,y2004_2008,n_cell,-0.51821265879991385
mlib,raw,none,fe_country,y2004_2008,n_cell,-0.1985110026707636
mpos,raw,none,fe_country,y2004_2008,n_cell,-0.3661954376324105
mneg,raw,none,fe_country,y2004_2008,n_cell,-0.4688991255526867
mcosmo,raw,none,re,y2004_2008,none,-0.35197605619041794
mutil,raw,none,re,y2004_2008,none,0.1914198016544741
mcomm,raw,none,re,y2004_2008,none,-0.4011576206844633
mlib,raw,none,re,y2004_2008,none,-0.22485593044131577
mpos,raw,none,re,y2004_2008,none,-0.321885777932732
mneg,raw,none,re,y2004_2008,none,-0.3967469846906224
mcosmo,raw,none,pooled_cl,y2004_2008,none,0.12559177117284895
mutil,raw,none,pooled_cl,y2004_2008,none,0.04742358221919054
mcomm,raw,none,pooled_cl,y2004_2008,none,0.1009420827337971
mlib,raw,none,pooled_cl,y2004_2008,none,0.08286574462600893
mpos,raw,none,pooled_cl,y2004_2008,none,0.11421230422930433
mneg,raw,none,pooled_cl,y2004_2008,none,0.11174207615657068
mcosmo,raw,none,pooled_cl,y2004_2008,n_cell,0.16886098382138323
mutil,raw,none,pooled_cl,y2004_2008,n_cell,0.01884037715733951
mcomm,raw,none,pooled_cl,y2004_2008,n_cell,0.04230713618571265
mlib,raw,none,pooled_cl,y2004_2008,n_cell,0.1164771110371457
mpos,raw,none,pooled_cl,y2004_2008,n_cell,0.12900672574416577
mneg,raw,none,pooled_cl,y2004_2008,n_cell,0.0957148856110494
mcosmo,raw,none,fe_twoway,y2009_2013,none,-0.460997376291117
mutil,raw,none,fe_twoway,y2009_2013,none,-0.38477551769172413
mcomm,raw,none,fe_twoway,y2009_2013,none,-0.6548618826507451
mlib,raw,none,fe_twoway,y2009_2013,none,-0.03123142155858195
mpos,raw,none,fe_twoway,y2009_2013,none,-0.49680101860071096
mneg,raw,none,fe_twoway,y2009_2013,none,-0.5060938665595206
mcosmo,raw,none,fe_twoway,y2009_2013,n_cell,-0.3991787595013559
mutil,raw,none,fe_twoway,y2009_2013,n_cell,-0.33262119923932154
mcomm,raw,none,fe_twoway,y2009_2013,n_cell,-0.5871206609112277
mlib,raw,none,fe_twoway,y2009_2013,n_cell,0.00164832315558149
mpos,raw,none,fe_twoway,y2009_2013,n_cell,-0.4368315761727061
mneg,raw,none,fe_twoway,y2009_2013,n_cell,-0.4308062393451091
mcosmo,raw,none,fe_country,y2009_2013,none,-0.5402583817509282
mutil,raw,none,fe_country,y2009_2013,none,-0.4951661286757437
mcomm,raw,none,fe_country,y2009_2013,none,-0.6961093312221163
mlib,raw,none,fe_country,y2009_2013,none,-0.26020240544508844
mpos,raw,none,fe_country,y2009_2013,none,-0.567557442221814
mneg,raw,none,fe_country,y2009_2013,none,-0.5750401820909907
mcosmo,raw,none,fe_country,y2009_2013,n_cell,-0.460736026838057
mutil,raw,none,fe_country,y2009_2013,n_cell,-0.4304490179421423
mcomm,raw,none,fe_country,y2009_2013,n_cell,-0.6233352460093771
mlib,raw,none,fe_country,y2009_2013,n_cell,-0.19096595286524895
mpos,raw,none,fe_country,y2009_2013,n_cell,-0.4942381982306171
mneg,raw,none,fe_country,y2009_2013,n_cell,-0.48961900429385513
mcosmo,raw,none,re,y2009_2013,none,-0.4633127968214203
mutil,raw,none,re,y2009_2013,none,-0.387256714631839
mcomm,raw,none,re,y2009_2013,none,-0.6365314648132551
mlib,raw,none,re,y2009_2013,none,-0.1595883896185865
mpos,raw,none,re,y2009_2013,none,-0.4725591955510954
mneg,raw,none,re,y2009_2013,none,-0.4669600751634186
mcosmo,raw,none,pooled_cl,y2009_2013,none,-0.08153602249861425
mutil,raw,none,pooled_cl,y2009_2013,none,0.05108019476989485
mcomm,raw,none,pooled_cl,y2009_2013,none,-0.04687871980250435
mlib,raw,none,pooled_cl,y2009_2013,none,0.24679915258896415
mpos,raw,none,pooled_cl,y2009_2013,none,-0.04588678371725792
mneg,raw,none,pooled_cl,y2009_2013,none,0.1215759948554562
mcosmo,raw,none,pooled_cl,y2009_2013,n_cell,0.0105482309906269
mutil,raw,none,pooled_cl,y2009_2013,n_cell,0.12299467703737864
mcomm,raw,none,pooled_cl,y2009_2013,n_cell,0.00270559225468589
mlib,raw,none,pooled_cl,y2009_2013,n_cell,0.3434178850922842
mpos,raw,none,pooled_cl,y2009_2013,n_cell,0.05247625188179519
mneg,raw,none,pooled_cl,y2009_2013,n_cell,0.2274779145727253
mcosmo,raw,none,fe_twoway,no_bailout,none,0.10832354443767152
mutil,raw,none,fe_twoway,no_bailout,none,-0.19395060800954905
mcomm,raw,none,fe_twoway,no_bailout,none,-0.25165415702206606
mlib,raw,none,fe_twoway,no_bailout,none,0.16618021382373388
mpos,raw,none,fe_twoway,no_bailout,none,0.01532103909094142
mneg,raw,none,fe_twoway,no_bailout,none,-0.06698304882174903
mcosmo,raw,none,fe_twoway,no_bailout,n_cell,0.12917922877631846
mutil,raw,none,fe_twoway,no_bailout,n_cell,-0.2061492150802672
mcomm,raw,none,fe_twoway,no_bailout,n_cell,-0.2709269582892696
mlib,raw,none,fe_twoway,no_bailout,n_cell,0.2270745232963036
mpos,raw,none,fe_twoway,no_bailout,n_cell,0.0309727949753253
mneg,raw,none,fe_twoway,no_bailout,n_cell,-0.04122279312123209
mcosmo,raw,none,fe_country,no_bailout,none,-0.11623219985696912
mutil,raw,none,fe_country,no_bailout,none,-0.2816598389340119
mcomm,raw,none,fe_country,no_bailout,none,-0.3411506416705011
mlib,raw,none,fe_country,no_bailout,none,-0.15446195304834026
mpos,raw,none,fe_country,no_bailout,none,-0.2409737045348976
mneg,raw,none,fe_country,no_bailout,none,-0.31399930172578766
mcosmo,raw,none,fe_country,no_bailout,n_cell,-0.09447160927575109
mutil,raw,none,fe_country,no_bailout,n_cell,-0.29750529177887447
mcomm,raw,none,fe_country,no_bailout,n_cell,-0.3680284715504647
