outcome,predictor,copredictor,estimator,sample,reg_weight,construction,variants,fitted,median_rca,min_rca,max_rca,share_claim,share_sig,share_both
mcomm,growth,none,fe_country,all,n_cell,count,48,48,0.019732149101874815,-0.02117379473963591,0.07957366924257349,0.5,0,0
mcomm,growth,none,fe_country,all,n_cell,rate,50,50,-0.006631116887710705,-0.02117379473963591,0.07957366924257349,0.52,0,0
mcomm,growth,none,fe_country,all,n_cell,share,50,50,-0.11064455135542567,-0.21933801647629672,-0.04896305774323462,1,0.26,0.26
mcomm,growth,none,fe_country,all,n_eff,count,48,48,0.016929047500397004,-0.0267885119327438,0.07886291718302967,0.5,0,0
mcomm,growth,none,fe_country,all,n_eff,rate,50,50,-0.00720660777035615,-0.0267885119327438,0.07886291718302967,0.52,0,0
mcomm,growth,none,fe_country,all,n_eff,share,50,50,-0.11198425029192108,-0.22790233336019833,-0.04896305774323462,1,0.28,0.28
mcomm,growth,none,fe_country,all,none,count,48,48,0.008545961907570461,-0.03367133269275712,0.06697650224982438,0.5,0,0
mcomm,growth,none,fe_country,all,none,rate,50,50,-0.012634791373140355,-0.03367133269275712,0.06697650224982438,0.52,0,0
mcomm,growth,none,fe_country,all,none,share,50,50,-0.1086695131017017,-0.22296754174917996,-0.05045083605373649,1,0.36,0.36
mcomm,growth,none,fe_country,all,pop,count,48,48,0.06618174429765564,0.02748636705123027,0.1399098574667164,0,0.041666666666666664,0
mcomm,growth,none,fe_country,all,pop,rate,50,50,0.06618174429765564,0.02748636705123027,0.1399098574667164,0,0.04,0
mcomm,growth,none,fe_country,all,pop,share,50,50,-0.07968865324675961,-0.1828023118458716,-0.01402088368927357,1,0.26,0.26
mcomm,growth,none,fe_country,no_GR_ES,n_cell,count,48,48,0.06094223232101083,0.01844947095696568,0.1083557140454847,0,0,0
mcomm,growth,none,fe_country,no_GR_ES,n_cell,rate,50,50,0.0332668584197852,0.01844947095696568,0.1083557140454847,0,0,0
mcomm,growth,none,fe_country,no_GR_ES,n_cell,share,50,50,-0.07139683152188428,-0.13594727753242486,-0.01035880975029437,1,0.02,0.02
mcomm,growth,none,fe_country,no_GR_ES,n_eff,count,48,48,0.05848608295917429,0.01487095680612316,0.1083557140454847,0,0,0
mcomm,growth,none,fe_country,no_GR_ES,n_eff,rate,50,50,0.0332668584197852,0.01487095680612316,0.1083557140454847,0,0,0
mcomm,growth,none,fe_country,no_GR_ES,n_eff,share,50,50,-0.07139683152188428,-0.14314311029357948,-0.01035880975029437,1,0.04,0.04
mcomm,growth,none,fe_country,no_GR_ES,none,count,48,48,0.02669708541416477,-0.00698677726466061,0.08303878443960588,0.25,0,0
mcomm,growth,none,fe_country,no_GR_ES,none,rate,50,50,0.005090052177799585,-0.00698677726466061,0.08303878443960588,0.28,0,0
mcomm,growth,none,fe_country,no_GR_ES,none,share,50,50,-0.07691036227364975,-0.18075165491755282,-0.03112075272791512,1,0.26,0.26
mcomm,growth,none,fe_country,no_GR_ES,pop,count,48,48,0.09335189815035777,0.05768559714715749,0.15552680885912146,0,0.16666666666666666,0
mcomm,growth,none,fe_country,no_GR_ES,pop,rate,50,50,0.09335189815035777,0.05768559714715749,0.15552680885912146,0,0.16,0
mcomm,growth,none,fe_country,no_GR_ES,pop,share,50,50,-0.0388108464526869,-0.11134807864416352,0.01090946286370174,0.92,0,0
mcomm,growth,none,fe_country,no_bailout,n_cell,count,48,48,0.19070087320333046,0.1529037530536739,0.23903947825336855,0,0.9375,0
mcomm,growth,none,fe_country,no_bailout,n_cell,rate,50,50,0.18629353439284166,0.1529037530536739,0.23903947825336855,0,0.94,0
mcomm,growth,none,fe_country,no_bailout,n_cell,share,50,50,0.07811326852252837,0.0458286682780536,0.1740361518910166,0,0.18,0
mcomm,growth,none,fe_country,no_bailout,n_eff,count,48,48,0.19123700723599418,0.15617596336154924,0.23903947825336855,0,1,0
mcomm,growth,none,fe_country,no_bailout,n_eff,rate,50,50,0.18873039826202703,0.15617596336154924,0.23903947825336855,0,1,0
mcomm,growth,none,fe_country,no_bailout,n_eff,share,50,50,0.07982389805262122,0.04834672605264664,0.1740361518910166,0,0.18,0
mcomm,growth,none,fe_country,no_bailout,none,count,48,48,0.188607971434254,0.1429557457416381,0.2322783048261996,0,0.8125,0
mcomm,growth,none,fe_country,no_bailout,none,rate,50,50,0.188607971434254,0.1429557457416381,0.2322783048261996,0,0.8,0
