cell,rows,fitted,derived,has_mi,has_beta,bytes
mcomm__growth__none__fe_country__all__n_cell,148,100,48,FALSE,TRUE,7212
mcomm__growth__none__fe_country__all__n_eff,148,100,48,FALSE,TRUE,7246
mcomm__growth__none__fe_country__all__none,148,100,48,FALSE,TRUE,7215
mcomm__growth__none__fe_country__all__pop,148,100,48,FALSE,TRUE,7176
mcomm__growth__none__fe_country__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,7251
mcomm__growth__none__fe_country__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,7247
mcomm__growth__none__fe_country__no_GR_ES__none,148,100,48,FALSE,TRUE,7321
mcomm__growth__none__fe_country__no_GR_ES__pop,148,100,48,FALSE,TRUE,7274
mcomm__growth__none__fe_country__no_bailout__n_cell,148,100,48,FALSE,TRUE,7190
mcomm__growth__none__fe_country__no_bailout__n_eff,148,100,48,FALSE,TRUE,7170
mcomm__growth__none__fe_country__no_bailout__none,148,100,48,FALSE,TRUE,7266
mcomm__growth__none__fe_country__no_bailout__pop,148,100,48,FALSE,TRUE,7178
mcomm__growth__none__fe_country__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7233
mcomm__growth__none__fe_country__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7193
mcomm__growth__none__fe_country__y2004_2008__none,148,100,48,FALSE,TRUE,7184
mcomm__growth__none__fe_country__y2004_2008__pop,148,100,48,FALSE,TRUE,7177
mcomm__growth__none__fe_country__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7298
mcomm__growth__none__fe_country__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7291
mcomm__growth__none__fe_country__y2009_2013__none,148,100,48,FALSE,TRUE,7187
mcomm__growth__none__fe_country__y2009_2013__pop,148,100,48,FALSE,TRUE,7166
mcomm__growth__none__fe_twoway__all__n_cell,148,100,48,FALSE,TRUE,7110
mcomm__growth__none__fe_twoway__all__n_eff,148,100,48,FALSE,TRUE,7097
mcomm__growth__none__fe_twoway__all__none,148,100,48,FALSE,TRUE,7117
mcomm__growth__none__fe_twoway__all__pop,148,100,48,FALSE,TRUE,7118
mcomm__growth__none__fe_twoway__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,7134
mcomm__growth__none__fe_twoway__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,7157
mcomm__growth__none__fe_twoway__no_GR_ES__none,148,100,48,FALSE,TRUE,7149
mcomm__growth__none__fe_twoway__no_GR_ES__pop,148,100,48,FALSE,TRUE,7158
mcomm__growth__none__fe_twoway__no_bailout__n_cell,148,100,48,FALSE,TRUE,7202
mcomm__growth__none__fe_twoway__no_bailout__n_eff,148,100,48,FALSE,TRUE,7194
mcomm__growth__none__fe_twoway__no_bailout__none,148,100,48,FALSE,TRUE,7224
mcomm__growth__none__fe_twoway__no_bailout__pop,148,100,48,FALSE,TRUE,7062
mcomm__growth__none__fe_twoway__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7256
mcomm__growth__none__fe_twoway__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7269
mcomm__growth__none__fe_twoway__y2004_2008__none,148,100,48,FALSE,TRUE,7156
mcomm__growth__none__fe_twoway__y2004_2008__pop,148,100,48,FALSE,TRUE,7094
mcomm__growth__none__fe_twoway__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7187
mcomm__growth__none__fe_twoway__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7177
mcomm__growth__none__fe_twoway__y2009_2013__none,148,100,48,FALSE,TRUE,7216
mcomm__growth__none__fe_twoway__y2009_2013__pop,148,100,48,FALSE,TRUE,7206
mcomm__growth__none__pooled_cl__all__n_cell,148,100,48,FALSE,TRUE,6999
mcomm__growth__none__pooled_cl__all__n_eff,148,100,48,FALSE,TRUE,7028
mcomm__growth__none__pooled_cl__all__none,148,100,48,FALSE,TRUE,7089
mcomm__growth__none__pooled_cl__all__pop,148,100,48,FALSE,TRUE,7137
mcomm__growth__none__pooled_cl__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,7072
mcomm__growth__none__pooled_cl__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,7099
mcomm__growth__none__pooled_cl__no_GR_ES__none,148,100,48,FALSE,TRUE,7045
mcomm__growth__none__pooled_cl__no_GR_ES__pop,148,100,48,FALSE,TRUE,7163
mcomm__growth__none__pooled_cl__no_bailout__n_cell,148,100,48,FALSE,TRUE,6988
mcomm__growth__none__pooled_cl__no_bailout__n_eff,148,100,48,FALSE,TRUE,7010
mcomm__growth__none__pooled_cl__no_bailout__none,148,100,48,FALSE,TRUE,7025
mcomm__growth__none__pooled_cl__no_bailout__pop,148,100,48,FALSE,TRUE,7178
mcomm__growth__none__pooled_cl__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7151
mcomm__growth__none__pooled_cl__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7149
mcomm__growth__none__pooled_cl__y2004_2008__none,148,100,48,FALSE,TRUE,7116
mcomm__growth__none__pooled_cl__y2004_2008__pop,148,100,48,FALSE,TRUE,7229
mcomm__growth__none__pooled_cl__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7119
mcomm__growth__none__pooled_cl__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7141
mcomm__growth__none__pooled_cl__y2009_2013__none,148,100,48,FALSE,TRUE,7042
mcomm__growth__none__pooled_cl__y2009_2013__pop,148,100,48,FALSE,TRUE,7287
mcomm__growth__none__re__all__none,148,100,48,FALSE,TRUE,7107
mcomm__growth__none__re__no_GR_ES__none,148,100,48,FALSE,TRUE,7091
mcomm__growth__none__re__no_bailout__none,148,100,48,FALSE,TRUE,7051
mcomm__growth__none__re__y2004_2008__none,148,100,48,FALSE,TRUE,6981
mcomm__growth__none__re__y2009_2013__none,148,100,48,FALSE,TRUE,7054
mcomm__growth__other__fe_country__all__n_cell,148,100,48,FALSE,TRUE,7099
mcomm__growth__other__fe_country__all__n_eff,148,100,48,FALSE,TRUE,7118
mcomm__growth__other__fe_country__all__none,148,100,48,FALSE,TRUE,7134
