analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2004,5.5
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2005,5.6
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2006,5.3
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2007,4.9
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2008,4.1
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2009,5.3
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2010,4.8
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2011,4.6
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2012,4.9
018OL,une_rt_a_h Y15-74 PC_ACT T,AT,2013,5.4
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2004,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2005,8.5
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2006,8.3
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2007,7.5
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2008,7
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2009,7.9
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2010,8.3
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2011,7.2
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2012,7.6
018OL,une_rt_a_h Y15-74 PC_ACT T,BE,2013,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2004,12.1
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2005,10.1
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2006,9
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2007,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2008,5.6
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2009,6.8
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2010,10.3
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2011,11.3
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2012,12.3
018OL,une_rt_a_h Y15-74 PC_ACT T,BG,2013,13
018OL,une_rt_a_h Y15-74 PC_ACT T,CY,2004,4.7
