cntry,year,pop_total,pop_15plus
AT,2004,8171966,6845779
AT,2005,8227829,6910234
AT,2006,8268641,6964886
AT,2007,8295487,7009457
AT,2008,8321496,7052578
AT,2009,8343323,7090421
AT,2010,8363404,7123870
AT,2011,8391643,7162612
AT,2012,8429991,7208474
AT,2013,8479823,7260944
BE,2004,10421137,8625009
BE,2005,10478617,8683177
BE,2006,10547958,8751119
BE,2007,10625700,8825504
BE,2008,10709973,8901196
BE,2009,10796493,8972787
BE,2010,10895586,9049843
BE,2011,11038264,9164237
BE,2012,11106932,9220785
BE,2013,11159407,9263587
BG,2004,7716860,6637874
BG,2005,7658972,6611991
BG,2006,7601022,6577944
BG,2007,7545338,6537680
BG,2008,7492561,6494228
BG,2009,7444443,6449296
BG,2010,7395599,6400381
BG,2011,7348328,6355174
BG,2012,7305888,6315281
BG,2013,7160005,6181236
CY,2004,1017875,809352
CY,2005,1036151,829735
CY,2006,1054418,850912
CY,2007,1072714,872510
CY,2008,1091026,894107
CY,2009,1109371,915399
CY,2010,1127816,936237
CY,2011,1146493,955923
CY,2012,1165397,974312
CY,2013,1183895,991903
CZ,2004,10197101,8666881
CZ,2005,10211216,8709190
CZ,2006,10238905,8759784
CZ,2007,10298828,8828495
CZ,2008,10384603,8909087
CZ,2009,10443936,8956518
CZ,2010,10474410,8965818
CZ,2011,10496088,8964508
CZ,2012,10510785,8959448
CZ,2013,10514272,8944903
DE,2004,82516260,70341801
DE,2005,82469422,70516975
DE,2006,82376451,70670023
DE,2007,82266372,70761158
DE,2008,82110097,70743563
DE,2009,81902307,70634853
DE,2010,81776930,70576834
DE,2011,80274983,69374436
DE,2012,80425823,69656156
DE,2013,80645605,69974131
DK,2004,5404523,4386685
DK,2005,5419432,4402450
DK,2006,5437272,4422291
DK,2007,5461438,4449446
DK,2008,5493621,4484664
DK,2009,5523095,4518427
DK,2010,5547683,4549534
DK,2011,5570572,4579871
DK,2012,5591572,4609628
DK,2013,5614932,4641892
EE,2004,1362550,1149855
EE,2005,1354775,1148776
EE,2006,1346810,1145361
EE,2007,1340680,1141549
EE,2008,1337090,1138038
EE,2009,1334515,1133862
EE,2010,1331475,1128611
EE,2011,1327439,1122577
EE,2012,1322696,1116470
EE,2013,1317997,1110561
ES,2004,42921895,36689944
ES,2005,43653155,37320941
ES,2006,44397319,37940555
ES,2007,45226803,38626022
ES,2008,45954106,39205730
ES,2009,46362946,39495730
ES,2010,46576897,39626899
ES,2011,46742697,39727107
ES,2012,46773055,39729028
ES,2013,46604197,39579946
FI,2004,5228172,4310828
FI,2005,5246096,4335351
FI,2006,5266268,4362213
FI,2007,5288720,4390825
FI,2008,5313399,4420509
FI,2009,5338871,4449113
FI,2010,5363352,4475337
FI,2011,5388272,4499925
FI,2012,5413971,4523777
FI,2013,5438972,4545770
FR,2004,62707588,51053121
FR,2005,63180854,51490661
FR,2006,63622342,51878894
FR,2007,64016890,52211410
FR,2008,64375116,52492286
FR,2009,64706436,52730815
FR,2010,65026211,52976120
FR,2011,65340830,53224521
FR,2012,65657659,53488208
FR,2013,65997932,53825137
GB,2004,59987905,48984300
GB,2005,60401206,49421491
GB,2006,60846820,49882841
GB,2007,61322463,50348994
GB,2008,61806995,50790875
GB,2009,62276270,51198972
GB,2010,62766365,51619966
GB,2011,63258810,52033754
GB,2012,63711000,52392616
GB,2013,64138000,52719999
GR,2004,10955141,9290376
GR,2005,10987314,9339362
GR,2006,11020362,9386202
GR,2007,11048473,9425044
GR,2008,11077841,9456623
GR,2009,11107017,9481621
GR,2010,11121341,9493930
GR,2011,11104899,9478309
GR,2012,11045011,9424643
GR,2013,10965211,9357686
HU,2004,10107146,8510866
HU,2005,10087065,8517171
HU,2006,10071370,8526536
HU,2007,10055780,8533268
HU,2008,10038188,8534258
HU,2009,10022650,8534760
HU,2010,10000023,8529919
HU,2011,9971727,8519330
HU,2012,9920362,8484244
HU,2013,9872734,8446793
IE,2004,4070262,3223417
IE,2005,4159914,3302723
IE,2006,4273591,3402389
IE,2007,4398942,3505991
IE,2008,4489544,3571426
IE,2009,4535375,3594351
IE,2010,4560155,3598499
IE,2011,4580084,3601951
IE,2012,4599533,3611145
IE,2013,4623816,3629630
IT,2004,57828179,49643379
IT,2005,58166682,49954928
IT,2006,58399861,50174477
IT,2007,58756247,50504011
IT,2008,59211181,50905894
IT,2009,59555454,51194775
IT,2010,59819407,51423125
IT,2011,60026841,51618968
IT,2012,60191247,51781628
IT,2013,60311613,51917598
LT,2004,3377075,2790724
LT,2005,3322528,2763181
LT,2006,3269909,2737045
LT,2007,3231294,2722153
LT,2008,3198231,2708633
LT,2009,3162916,2687093
LT,2010,3097282,2635099
LT,2011,3028115,2578933
LT,2012,2989139,2548675
LT,2013,2961250,2527467
LU,2004,458095,372621
LU,2005,465158,379011
LU,2006,472637,385772
LU,2007,479993,392483
LU,2008,488650,400492
LU,2009,497783,408988
LU,2010,506953,417441
LU,2011,518347,428367
LU,2012,530946,440334
LU,2013,543360,451457
LV,2004,2263122,1918580
LV,2005,2238799,1908772
LV,2006,2218357,1899756
LV,2007,2200325,1889947
LV,2008,2177322,1871549
LV,2009,2141669,1839282
LV,2010,2097555,1800178
LV,2011,2059709,1766390
LV,2012,2034319,1742122
LV,2013,2012647,1719348
MT,2004,401268,329409
MT,2005,403834,333696
MT,2006,405308,336999
MT,2007,406724,340175
MT,2008,409379,344220
MT,2009,412477,348394
MT,2010,414508,351508
MT,2011,416268,354230
MT,2012,420028,358400
MT,2013,424810,363290
NL,2004,16281779,13246741
NL,2005,16319868,13302180
NL,2006,16346101,13355427
NL,2007,16381696,13417607
NL,2008,16445593,13501432
NL,2009,16530388,13599665
NL,2010,16615394,13694510
NL,2011,16693074,13781938
NL,2012,16754962,13859832
NL,2013,16804432,13933854
PL,2004,38182222,31700672
PL,2005,38165445,31874735
PL,2006,38141267,32024802
PL,2007,38120560,32145898
PL,2008,38125759,32246462
PL,2009,38151603,32371153
PL,2010,38042794,32308457
PL,2011,38063255,32289561
PL,2012,38063164,32298700
PL,2013,38040196,32293711
PT,2004,10483861,8805152
PT,2005,10503330,8830895
PT,2006,10522288,8859579
PT,2007,10542964,8893143
PT,2008,10558177,8921668
PT,2009,10568247,8944975
PT,2010,10573100,8967348
PT,2011,10557560,8968806
PT,2012,10514844,8943494
PT,2013,10457295,8911923
RO,2004,21451748,17941228
RO,2005,21319685,17911526
RO,2006,21193760,17845722
RO,2007,20882982,17600610
RO,2008,20537875,17313352
RO,2009,20367487,17166507
RO,2010,20246871,17058580
RO,2011,20147528,16970404
RO,2012,20058035,16899662
RO,2013,19983693,16846777
SE,2004,8993531,7402278
SE,2005,9029572,7457411
SE,2006,9080505,7525330
SE,2007,9148092,7602452
SE,2008,9219637,7677605
SE,2009,9298515,7752622
SE,2010,9378126,7820938
SE,2011,9449213,7874601
SE,2012,9519374,7921322
SE,2013,9600379,7971435
SI,2004,1997012,1707420
SI,2005,2000474,1715021
SI,2006,2006868,1724195
SI,2007,2018122,1736497
SI,2008,2021316,1739281
SI,2009,2039669,1753440
SI,2010,2048583,1758965
SI,2011,2052843,1759770
SI,2012,2057159,1760486
SI,2013,2059953,1759866
SK,2004,5372280,4440799
SK,2005,5372807,4466057
SK,2006,5373054,4489916
SK,2007,5374622,4512242
SK,2008,5379233,4533179
SK,2009,5386406,4549628
SK,2010,5391428,4557830
SK,2011,5398384,4565577
SK,2012,5407579,4575586
SK,2013,5413393,4582684
