measure,predictor,source,cntry,year,value
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2004,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2005,2.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2006,3.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2007,3.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2008,1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2009,-3.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2010,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2011,2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2012,0.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,AT,2013,-0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2004,3.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2005,2.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2006,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2007,3.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2008,0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2009,-1.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2010,2.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2011,1.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2012,0.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BE,2013,0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2004,6.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2005,7.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2006,6.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2007,6.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2008,6.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2009,-3.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2010,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2011,2.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2012,0.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,BG,2013,-0.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2004,5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2005,4.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2006,4.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2007,5.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2008,3.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2009,-2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2010,2.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2011,0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2012,-3.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CY,2013,-6.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2004,4.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2005,6.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2006,6.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2007,5.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2008,2.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2009,-4.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2010,2.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2011,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2012,-0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,CZ,2013,0
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2004,1.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2005,0.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2006,3.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2007,2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2008,0.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2009,-5.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2010,4.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2011,3.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2012,0.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DE,2013,0.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2004,2.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2005,2.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2006,3.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2007,1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2008,-0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2009,-5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2010,1.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2011,1.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2012,0
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,DK,2013,1.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2004,6.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2005,9.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2006,9.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2007,7.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2008,-5.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2009,-14.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2010,2.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2011,7.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2012,3.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,EE,2013,1.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2004,3.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2005,3.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2006,4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2007,3.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2008,0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2009,-3.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2010,0.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2011,-0.6
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2012,-2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,ES,2013,-1.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2004,4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2005,2.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2006,4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2007,5.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2008,0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2009,-8.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2010,3.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2011,2.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2012,-1.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FI,2013,-1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2004,2.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2005,1.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2006,2.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2007,2.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2008,0.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2009,-2.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2010,2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2011,2.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2012,0.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,FR,2013,0.8
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2004,5.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2005,1.2
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2006,6.4
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2007,3.5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2008,0.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2009,-4.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2010,-5.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2011,-9.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2012,-8.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,GR,2013,-2.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2004,5
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2005,4.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2006,3.9
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2007,0.3
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2008,1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2009,-6.7
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2010,1.1
es_growth,growth,Eurostat nama_10_gdp B1GQ CLV_PCH_PRE,HU,2011,1.9
