outcome,exposure,control,estimator,sample,weights,estimate,se,statistic,df,n,r,conf_low,conf_high,positive_outcome,sig,supports_claim,baseline
mcosmo,raw,none,fe_twoway,all,none,-0.003472985321337855,9.130492419656559e-4,-3.8037218166470916,233,270,-0.24179591550885488,-0.005271872745602275,-0.0016740978970734347,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,all,n_cy,-0.002631986538827039,8.657899711698663e-4,-3.039982705355972,233,270,-0.19532005773215194,-0.004337763861240402,-9.262092164136764e-4,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,y2004_2008,none,-0.0068563222810336675,0.0020610191860265764,-3.3266659172891644,103,135,-0.31147969328798175,-0.01094386773437035,-0.0027687768276969844,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,y2004_2008,n_cy,-0.0057922100837361785,0.0019655056413087355,-2.946931294422246,103,135,-0.27885198806430744,-0.009690326948493751,-0.0018940932189786051,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,y2009_2013,none,-0.005961957696519289,0.0011308160963708505,-5.272261082640327,103,135,-0.4609973762911169,-0.008204664714784283,-0.0037192506782542955,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,y2009_2013,n_cy,-0.00496908993246153,0.001124605131712139,-4.418519702907998,103,135,-0.39917875950135595,-0.007199478967214446,-0.0027387008977086146,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,no_bailout,none,0.0019381995065014665,0.0014018437440371262,1.3826073802774237,161,190,0.10832354443767171,-8.301728625946664e-4,0.004706571875597599,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,fe_twoway,no_bailout,n_cy,0.002183942302737012,0.0013212389412925578,1.652950298755559,161,190,0.1291792287763184,-4.2525104966509037e-4,0.004793135655139114,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,fe_twoway,no_GR_ES,none,-0.0018106746792407203,0.0011224089691361696,-1.6132040361671869,215,250,-0.10935973072701444,-0.004023009116621188,4.0165975813974734e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,fe_twoway,no_GR_ES,n_cy,-3.961743622787181e-4,0.0010445852965083086,-0.3792647317581374,215,250,-0.025856991899319587,-0.0024551137398080977,0.0016627650152506617,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,fe_country,all,none,-0.005644941136509141,8.21797971198258e-4,-6.869013229952723,242,270,-0.40393149420077795,-0.007263731217377268,-0.004026151055641015,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,all,n_cy,-0.004807846461758231,7.875424113297825e-4,-6.104873074251426,242,270,-0.36531281263626436,-0.0063591594223691515,-0.00325653350114731,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,y2004_2008,none,-0.00965119895962002,0.0017094450252857852,-5.645808327767973,107,135,-0.4790864157743249,-0.013039974349976124,-0.006262423569263917,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,y2004_2008,n_cy,-0.00858153880984302,0.001646102378599479,-5.213247317669441,107,135,-0.45005724377883577,-0.011844744790785277,-0.005318332828900764,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,y2009_2013,none,-0.008489547927310536,0.0012783355384142793,-6.641095136759992,107,135,-0.5402583817509281,-0.011023699040167591,-0.00595539681445348,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,y2009_2013,n_cy,-0.0070182629464830126,0.00130698964771682,-5.369792299995042,107,135,-0.460736026838057,-0.009609217489108621,-0.004427308403857404,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,no_bailout,none,-0.0020509837854248694,0.0013441807420585782,-1.5258244083186616,170,190,-0.11623219985696917,-0.004704419028324294,6.024514574745551e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,fe_country,no_bailout,n_cy,-0.0015698805853167229,0.0012688028055063728,-1.2372928074431482,170,190,-0.09447160927575114,-0.004074518522075347,9.347573514419014e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,fe_country,no_GR_ES,none,-0.004500214753033646,0.0010260833787053836,-4.385817806260148,224,250,-0.2812141681815224,-0.006522225906115421,-0.0024782035999518703,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,fe_country,no_GR_ES,n_cy,-0.003131534350632075,9.714544299463899e-4,-3.223552494176068,224,250,-0.21055424983406282,-0.005045893098495878,-0.001217175602768272,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,re,all,none,-0.005250438016397755,8.121210608073045e-4,-6.465092791927422,268,270,-0.3673126292715656,-0.006849386768379264,-0.0036514892644162467,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,re,y2004_2008,none,-0.007244742014671678,0.0016705674304825847,-4.336695354211985,133,135,-0.3519760561904181,-0.010549059681346423,-0.003940424347996933,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,re,y2009_2013,none,-0.007328212847568656,0.0012154221984513485,-6.029355771933429,133,135,-0.4633127968214201,-0.00973227087571499,-0.004924154819422322,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,re,no_bailout,none,-0.0013452140064871014,0.0013272122548699794,-1.0135635815229007,188,190,-0.07372057588384828,-0.003963356106540369,0.0012729280935661659,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,re,no_GR_ES,none,-0.004038753453221503,0.0010158615808149492,-3.975692682443523,248,250,-0.24477686210223976,-0.006039569690248744,-0.0020379372161942614,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,none,pooled_cl,all,none,-0.0010975668883812517,0.002195327509771913,-0.4999558760575479,268,270,-0.03052543401154906,-0.005419848813259638,0.0032247150364971347,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,pooled_cl,all,n_cy,1.7329757933826073e-4,0.0023844440716123084,0.07267839971649272,268,270,0.004439496105094661,-0.004521327466691472,0.004867922625367994,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,y2004_2008,none,0.002803129086379308,0.0032137585413226063,0.8722276581568241,133,135,0.0754163406709394,-0.0035535608207449476,0.009159818993503564,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,y2004_2008,n_cy,0.00389391539118511,0.003431879424563941,1.134630594336768,133,135,0.0979122157591782,-0.002894209173896555,0.010682039956266775,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,y2009_2013,none,-0.001332221528775629,0.002519553021276177,-0.5287531230840486,133,135,-0.04580059690128037,-0.006315799807876643,0.003651356750325385,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,none,pooled_cl,y2009_2013,n_cy,1.7561012339525894e-4,0.0027484259813329347,0.06389479818193661,133,135,0.005540296619083056,-0.0052606700051134265,0.005611890251903944,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,no_bailout,none,0.005972750463127174,0.003153361541511271,1.8940899685941788,188,190,0.13684121819467587,-2.477682054020901e-4,0.012193269131656439,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,no_bailout,n_cy,0.00739082806154745,0.003142985072245559,2.3515313918646603,188,190,0.16903512892355058,0.0011907786668172967,0.013590877456277604,TRUE,TRUE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,no_GR_ES,none,0.0011578090769204241,0.00292303802121869,0.3960978504267637,248,250,0.025144286332714833,-0.004599335444295304,0.006914953598136152,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,none,pooled_cl,no_GR_ES,n_cy,0.0029734583054926156,0.0029020159401286633,1.0246181850265044,248,250,0.0649260413278751,-0.0027422816366196416,0.008689198247604873,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,fe_twoway,all,none,-0.003560929397102002,9.834589819854858e-4,-3.620821470269062,232,270,-0.23127372130510407,-0.005498581525943909,-0.0016232772682600947,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,all,n_cy,-0.0026972293097405993,9.23804371307163e-4,-2.919697496044621,232,270,-0.18826000966702833,-0.004517347422936297,-8.771111965449013e-4,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,y2004_2008,none,-0.008076383226124003,0.0021065249288345815,-3.8339841677507223,102,135,-0.35490812280540857,-0.012254665434511902,-0.0038981010177361036,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,y2004_2008,n_cy,-0.007267779343640999,0.0019703745451650884,-3.688526814089585,102,135,-0.3430553556836701,-0.01117600791156894,-0.0033595507757130565,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,y2009_2013,none,-0.005029388856272651,0.001193696721094044,-4.2132886581636315,102,135,-0.38501724921770053,-0.007397080642724743,-0.0026616970698205593,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,y2009_2013,n_cy,-0.004165178083832346,0.001162257639403094,-3.5836960262713142,102,135,-0.3344099053045765,-0.006470510600816867,-0.0018598455668478245,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,no_bailout,none,9.033267529569805e-4,0.001457607520597649,0.6197325001359748,160,190,0.04893545820986348,-0.001975304613340207,0.003781958119254168,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,fe_twoway,no_bailout,n_cy,0.001273609718769742,0.0013617472671459407,0.9352761334627647,160,190,0.0737387754407947,-0.0014157070834435951,0.003962926520983079,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,fe_twoway,no_GR_ES,none,-0.002190153211528162,0.0012116040257492803,-1.8076476843775153,214,250,-0.12263553089210424,-0.0045783595465115345,1.9805312345521058e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,fe_twoway,no_GR_ES,n_cy,-7.550251168815897e-4,0.0011036268464703844,-0.6841307995508703,214,250,-0.046715161703405686,-0.0029303964182177096,0.00142034618445453,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,fe_country,all,none,-0.006193535538185129,8.843759007941016e-4,-7.00328393460723,241,270,-0.41121439069659577,-0.00793562890063466,-0.004451442175735597,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,all,n_cy,-0.005131682586078034,8.394814716072536e-4,-6.112919414710872,241,270,-0.3663862651150974,-0.006785340378282897,-0.0034780247938731696,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,y2004_2008,none,-0.009772249472718018,0.0017042879323637087,-5.733919302687723,106,135,-0.4865585568617156,-0.013151166060682293,-0.006393332884753742,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,y2004_2008,n_cy,-0.008487537023724534,0.0016222852082902553,-5.231840233980587,106,135,-0.4530247127113832,-0.011703875235483469,-0.0052711988119656,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,y2009_2013,none,-0.008665557839780876,0.0012568899592327089,-6.894444319589379,106,135,-0.5564137938122283,-0.011157464431296196,-0.006173651248265556,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,y2009_2013,n_cy,-0.007183331332016467,0.0013011392974121097,-5.520801151962511,106,135,-0.4725728844096491,-0.009762966540241202,-0.004603696123791731,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,no_bailout,none,-0.002804775763957472,0.0013553979173349087,-2.0693375193260186,169,190,-0.15720067568341065,-0.005480467398971953,-1.290841289429915e-4,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,no_bailout,n_cy,-0.002035603853238585,0.001270937823697615,-1.6016549474594133,169,190,-0.1222796633505069,-0.004544562779616325,4.733550731391553e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,fe_country,no_GR_ES,none,-0.005162481802346126,0.0010907730068263986,-4.73286538082415,223,250,-0.30212513646631045,-0.007312023402486393,-0.0030129402022058592,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,fe_country,no_GR_ES,n_cy,-0.003577785405314873,0.0010115675502489476,-3.536872455462195,223,250,-0.23047043114696406,-0.0055712400627036945,-0.0015843307479260515,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,re,all,none,-0.005500075783792588,8.808494486955397e-4,-6.244058836544332,267,270,-0.3569559266188849,-0.0072343702414199695,-0.003765781326165207,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,re,y2004_2008,none,-0.007212112044702333,0.0016770722871744343,-4.300418115460871,132,135,-0.3505513733412031,-0.010529526793785115,-0.00389469729561955,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,re,y2009_2013,none,-0.007437895026522549,0.0012080879040462815,-6.156749853723894,132,135,-0.47233236160055236,-0.009827612310459035,-0.005048177742586063,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,re,no_bailout,none,-0.0019511743510721579,0.001341334784725965,-1.4546512722182054,187,190,-0.10577785171399227,-0.004597267107091926,6.949184049476103e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,re,no_GR_ES,none,-0.0043534340159209805,0.0010877261913470574,-4.002325263979916,247,250,-0.24678521831194733,-0.006495835571997444,-0.0022110324598445166,TRUE,TRUE,TRUE,FALSE
mcosmo,raw,growth,pooled_cl,all,none,-3.743686521872451e-4,0.002194535335537057,-0.17059130747403886,267,270,-0.010439449569780565,-0.0046951643058891004,0.00394642700151461,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,pooled_cl,all,n_cy,9.103663598640024e-4,0.0023247257479290023,0.391601616093859,267,270,0.0239587503229505,-0.0036667597155483353,0.00548749243527634,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,y2004_2008,none,0.0023327141408706342,0.0030914432632680473,0.7545712284574357,132,135,0.06553580415501473,-0.003782466198074011,0.008447894479815279,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,y2004_2008,n_cy,0.0034612000056087125,0.003284899362248293,1.0536700287949623,132,135,0.09132694399596632,-0.0030366556186919146,0.00995905562990934,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,y2009_2013,none,-0.0011684204343947245,0.0024899773928765763,-0.4692494147687392,132,135,-0.04080889571574212,-0.006093841831661118,0.003757000962871669,TRUE,FALSE,TRUE,FALSE
mcosmo,raw,growth,pooled_cl,y2009_2013,n_cy,5.858700272318366e-4,0.0026553699111068027,0.22063593655304928,132,135,0.01920035320922033,-0.004666714118808682,0.005838454173272355,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,no_bailout,none,0.0059661547275083856,0.0031589656789888254,1.8886418321006047,187,190,0.13681250434358933,-2.656349009065133e-4,0.012197944355923284,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,no_bailout,n_cy,0.007301623327148425,0.0031298524080238606,2.3328970108716898,187,190,0.1681687030665809,0.001127266351850155,0.013475980302446695,TRUE,TRUE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,no_GR_ES,none,0.0016775672642028068,0.00284872790214494,0.5888829406766748,247,250,0.037443448521493575,-0.003933329245364147,0.00728846377376976,TRUE,FALSE,FALSE,FALSE
mcosmo,raw,growth,pooled_cl,no_GR_ES,n_cy,0.0032825980570338545,0.002837141066141952,1.15700910899635,247,250,0.07342003760380676,-0.002305476849375726,0.008870672963443436,TRUE,FALSE,FALSE,FALSE
mcosmo,centred,none,fe_twoway,all,none,-0.003472985321337857,9.13049241965656e-4,-3.803721816647094,233,270,-0.24179591550885501,-0.005271872745602277,-0.0016740978970734366,TRUE,TRUE,TRUE,TRUE
mcosmo,centred,none,fe_twoway,all,n_cy,-0.002631986538827041,8.657899711698663e-4,-3.0399827053559743,233,270,-0.19532005773215208,-0.004337763861240403,-9.262092164136781e-4,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,y2004_2008,none,-0.006856322281033664,0.002061019186026576,-3.3266659172891635,103,135,-0.31147969328798164,-0.010943867734370345,-0.002768776827696982,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,y2004_2008,n_cy,-0.005792210083736181,0.001965505641308736,-2.9469312944222468,103,135,-0.27885198806430755,-0.009690326948493755,-0.0018940932189786069,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,y2009_2013,none,-0.00596195769651929,0.0011308160963708505,-5.272261082640328,103,135,-0.460997376291117,-0.008204664714784283,-0.0037192506782542964,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,y2009_2013,n_cy,-0.00496908993246153,0.001124605131712139,-4.418519702907998,103,135,-0.39917875950135595,-0.007199478967214446,-0.0027387008977086146,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,no_bailout,none,0.0019381995065014665,0.0014018437440371267,1.3826073802774232,161,190,0.10832354443767167,-8.301728625946673e-4,0.0047065718755976,TRUE,FALSE,FALSE,FALSE
mcosmo,centred,none,fe_twoway,no_bailout,n_cy,0.0021839423027370133,0.001321238941292558,1.6529502987555598,161,190,0.12917922877631843,-4.252510496650895e-4,0.004793135655139116,TRUE,FALSE,FALSE,FALSE
mcosmo,centred,none,fe_twoway,no_GR_ES,none,-0.0018106746792407205,0.0011224089691361696,-1.613204036167187,215,250,-0.10935973072701446,-0.004023009116621188,4.016597581397471e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,centred,none,fe_twoway,no_GR_ES,n_cy,-3.961743622787178e-4,0.0010445852965083084,-0.37926473175813724,215,250,-0.025856991899319576,-0.0024551137398080972,0.0016627650152506615,TRUE,FALSE,TRUE,FALSE
mcosmo,centred,none,fe_country,all,none,-0.005644941136509141,8.21797971198258e-4,-6.869013229952723,242,270,-0.40393149420077795,-0.007263731217377268,-0.004026151055641015,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,all,n_cy,-0.004807846461758231,7.875424113297824e-4,-6.104873074251427,242,270,-0.3653128126362644,-0.0063591594223691515,-0.00325653350114731,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,y2004_2008,none,-0.009651198959620019,0.0017094450252857852,-5.6458083277679725,107,135,-0.4790864157743249,-0.013039974349976122,-0.006262423569263915,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,y2004_2008,n_cy,-0.008581538809843022,0.0016461023785994792,-5.213247317669441,107,135,-0.45005724377883577,-0.011844744790785278,-0.005318332828900766,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,y2009_2013,none,-0.008489547927310536,0.0012783355384142791,-6.641095136759993,107,135,-0.5402583817509281,-0.011023699040167591,-0.00595539681445348,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,y2009_2013,n_cy,-0.007018262946483011,0.00130698964771682,-5.369792299995041,107,135,-0.4607360268380569,-0.00960921748910862,-0.004427308403857402,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,no_bailout,none,-0.0020509837854248707,0.0013441807420585784,-1.5258244083186623,170,190,-0.1162321998569692,-0.004704419028324296,6.024514574745543e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,centred,none,fe_country,no_bailout,n_cy,-0.0015698805853167227,0.0012688028055063728,-1.2372928074431482,170,190,-0.09447160927575114,-0.004074518522075347,9.347573514419017e-4,TRUE,FALSE,TRUE,FALSE
mcosmo,centred,none,fe_country,no_GR_ES,none,-0.004500214753033647,0.0010260833787053836,-4.38581780626015,224,250,-0.28121416818152245,-0.006522225906115423,-0.002478203599951872,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,fe_country,no_GR_ES,n_cy,-0.003131534350632075,9.714544299463898e-4,-3.2235524941760683,224,250,-0.21055424983406285,-0.005045893098495878,-0.0012171756027682722,TRUE,TRUE,TRUE,FALSE
mcosmo,centred,none,re,all,none,-0.005250438016397754,8.121210608073044e-4,-6.465092791927421,268,270,-0.36731262927156555,-0.006849386768379263,-0.003651489264416246,TRUE,TRUE,TRUE,FALSE
