measure,predictor,outcome,pred_form,copredictor,estimator,sample,weights,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,all,none,-0.003466477363815271,9.179136713643892e-4,-3.77647427198975,233,270,-0.24016408061572597,TRUE,TRUE,TRUE,-0.24016408061572597
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,all,n_cy,-0.0026330885463619383,8.701325846286537e-4,-3.026077396567859,233,270,-0.1944604955986253,TRUE,TRUE,TRUE,-0.1944604955986253
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,y2004_2008,none,-0.0071028354213606235,0.0021079012442552407,-3.3696243790919067,103,135,-0.31510486739992016,TRUE,TRUE,TRUE,-0.31510486739992016
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,y2004_2008,n_cy,-0.006118773632340049,0.00200496137411938,-3.0518162151764843,103,135,-0.2879666781727529,TRUE,TRUE,TRUE,-0.2879666781727529
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,y2009_2013,none,-0.005938227094150925,0.0011284789370848453,-5.26215146690368,103,135,-0.46030084295730056,TRUE,TRUE,TRUE,-0.46030084295730056
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,y2009_2013,n_cy,-0.004937786564525368,0.0011218199907761666,-4.401585463911196,103,135,-0.39789148152264103,TRUE,TRUE,TRUE,-0.39789148152264103
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,no_bailout,none,0.001962656884878379,0.0014098570378410368,1.392096384385089,161,190,0.10905816978076505,TRUE,FALSE,FALSE,0.10905816978076505
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,no_bailout,n_cy,0.0022121708536727417,0.0013282224596660257,1.6655123075007932,161,190,0.13014439214112788,TRUE,FALSE,FALSE,0.13014439214112788
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,no_GR_ES,none,-0.0017803018647695465,0.0011315239178690778,-1.5733665339768232,215,250,-0.10669025596510158,TRUE,FALSE,TRUE,-0.10669025596510158
es_1574_act,unemp,mcosmo,raw,none,fe_twoway,no_GR_ES,n_cy,-3.726305859427322e-4,0.00105228573343746,-0.35411540240641165,215,250,-0.02414343025245713,TRUE,FALSE,TRUE,-0.02414343025245713
es_1574_act,unemp,mcosmo,raw,none,fe_country,all,none,-0.005659348618618579,8.243138532597363e-4,-6.865526517889725,242,270,-0.4037598909591407,TRUE,TRUE,TRUE,-0.4037598909591407
es_1574_act,unemp,mcosmo,raw,none,fe_country,all,n_cy,-0.00482523992287661,7.896250001540663e-4,-6.110799331246024,242,270,-0.3656200515582271,TRUE,TRUE,TRUE,-0.3656200515582271
es_1574_act,unemp,mcosmo,raw,none,fe_country,y2004_2008,none,-0.0098826749666783,0.0017262892492874177,-5.724808267651378,107,135,-0.48422659144635427,TRUE,TRUE,TRUE,-0.48422659144635427
es_1574_act,unemp,mcosmo,raw,none,fe_country,y2004_2008,n_cy,-0.008864715779250125,0.0016595660426228784,-5.341586626609805,107,135,-0.4588264807466277,TRUE,TRUE,TRUE,-0.4588264807466277
es_1574_act,unemp,mcosmo,raw,none,fe_country,y2009_2013,none,-0.008465910315910884,0.0012744026105033785,-6.643042195720958,107,135,-0.5403705300182193,TRUE,TRUE,TRUE,-0.5403705300182193
es_1574_act,unemp,mcosmo,raw,none,fe_country,y2009_2013,n_cy,-0.006985967848138315,0.0013029938961713707,-5.361473962898376,107,135,-0.4601735320248443,TRUE,TRUE,TRUE,-0.4601735320248443
es_1574_act,unemp,mcosmo,raw,none,fe_country,no_bailout,none,-0.0020556708605657106,0.0013515004852566834,-1.5210285774890326,170,190,-0.11587178215800688,TRUE,FALSE,TRUE,-0.11587178215800688
es_1574_act,unemp,mcosmo,raw,none,fe_country,no_bailout,n_cy,-0.0015763336941683212,0.0012743333218300996,-1.236986954013344,170,190,-0.0944484646486098,TRUE,FALSE,TRUE,-0.0944484646486098
es_1574_act,unemp,mcosmo,raw,none,fe_country,no_GR_ES,none,-0.0045143239676018465,0.0010313608077735343,-4.377055957116706,224,250,-0.28069667278770927,TRUE,TRUE,TRUE,-0.28069667278770927
es_1574_act,unemp,mcosmo,raw,none,fe_country,no_GR_ES,n_cy,-0.003146912567972985,9.756900156520292e-4,-3.2253200478535,224,250,-0.21066457957174647,TRUE,TRUE,TRUE,-0.21066457957174647
es_1574_act,unemp,mcosmo,raw,none,re,all,none,-0.005262393526170845,8.145007111681716e-4,-6.4608826659260075,268,270,-0.367105676898537,TRUE,TRUE,TRUE,-0.367105676898537
es_1574_act,unemp,mcosmo,raw,none,re,y2004_2008,none,-0.007372612494697757,0.0016898111761845373,-4.362980076474902,133,135,-0.3538429853827036,TRUE,TRUE,TRUE,-0.3538429853827036
es_1574_act,unemp,mcosmo,raw,none,re,y2009_2013,none,-0.007319329714932692,0.0012116945715910424,-6.040573166323494,133,135,-0.46398933694128164,TRUE,TRUE,TRUE,-0.46398933694128164
es_1574_act,unemp,mcosmo,raw,none,re,no_bailout,none,-0.001331532501707626,0.0013343938794787506,-0.9978556722905216,188,190,-0.07258414249169362,TRUE,FALSE,TRUE,-0.07258414249169362
es_1574_act,unemp,mcosmo,raw,none,re,no_GR_ES,none,-0.004048474407773121,0.0010207895436403088,-3.9660226076920555,248,250,-0.24421704127169083,TRUE,TRUE,TRUE,-0.24421704127169083
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,all,none,-0.0010960578486122197,0.002219645407021256,-0.49379862438618943,268,270,-0.030149839138300622,TRUE,FALSE,TRUE,-0.030149839138300622
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,all,n_cy,1.8026757767936052e-4,0.0024098695045094275,0.07480387520653624,268,270,0.004569326233201217,TRUE,FALSE,FALSE,0.004569326233201217
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,y2004_2008,none,0.0029903982453127753,0.0032578041998750267,0.9179183467893776,133,135,0.07934268809887905,TRUE,FALSE,FALSE,0.07934268809887905
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,y2004_2008,n_cy,0.004090415303313055,0.003497817998765924,1.1694191363747934,133,135,0.10088416678648306,TRUE,FALSE,FALSE,0.10088416678648306
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,y2009_2013,none,-0.0013738073084390845,0.0025232835400071955,-0.5444522134183806,133,135,-0.04715747156902791,TRUE,FALSE,TRUE,-0.04715747156902791
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,y2009_2013,n_cy,1.3839871379159319e-4,0.00275158836169344,0.050297753733199016,133,135,0.004361326891305823,TRUE,FALSE,FALSE,0.004361326891305823
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,no_bailout,none,0.006087048902697734,0.0031845372861934655,1.9114390429931791,188,190,0.13807083866492534,TRUE,FALSE,FALSE,0.13807083866492534
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,no_bailout,n_cy,0.007519812624995292,0.0031700426869608798,2.372148695639344,188,190,0.17047427424042347,TRUE,TRUE,FALSE,0.17047427424042347
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,no_GR_ES,none,0.0011679736686189823,0.002974230417612623,0.3926977754321066,248,250,0.02492858432543298,TRUE,FALSE,FALSE,0.02492858432543298
es_1574_act,unemp,mcosmo,raw,none,pooled_cl,no_GR_ES,n_cy,0.00298857652947071,0.0029579559373227393,1.0103519433003068,248,250,0.06402577726972009,TRUE,FALSE,FALSE,0.06402577726972009
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,all,none,-0.0035505909113953574,9.885684092873779e-4,-3.591649174744362,232,270,-0.22950891841099938,TRUE,TRUE,TRUE,-0.22950891841099938
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,all,n_cy,-0.0026978244693705595,9.286509164441977e-4,-2.905100745176157,232,270,-0.18735193806895914,TRUE,TRUE,TRUE,-0.18735193806895914
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,y2004_2008,none,-0.008325651834866516,0.0021518426336790317,-3.869080249902869,102,135,-0.35774279639513074,TRUE,TRUE,TRUE,-0.35774279639513074
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,y2004_2008,n_cy,-0.007632462921746378,0.0020075337100363927,-3.8019102162962017,102,135,-0.35230895267349743,TRUE,TRUE,TRUE,-0.35230895267349743
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,y2009_2013,none,-0.005006282834475714,0.0011913978310204242,-4.202024465822526,102,135,-0.384139975363516,TRUE,TRUE,TRUE,-0.384139975363516
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,y2009_2013,n_cy,-0.004133112136401057,0.00115983133423603,-3.5635458487793823,102,135,-0.33273830655049935,TRUE,TRUE,TRUE,-0.33273830655049935
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,no_bailout,none,9.138765802196131e-4,0.001467466047295705,0.6227582450058965,160,190,0.0491738014400372,TRUE,FALSE,FALSE,0.0491738014400372
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,no_bailout,n_cy,0.0012819814567163262,0.0013714774806128781,0.9347448097678145,160,190,0.07369711255139111,TRUE,FALSE,FALSE,0.07369711255139111
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,no_GR_ES,none,-0.0021571203013747648,0.0012219318232457508,-1.7653360525834607,214,250,-0.11980668859614131,TRUE,FALSE,TRUE,-0.11980668859614131
es_1574_act,unemp,mcosmo,raw,growth,fe_twoway,no_GR_ES,n_cy,-7.344539830137025e-4,0.0011127118297330333,-0.6600576747619515,214,250,-0.04507475391370283,TRUE,FALSE,TRUE,-0.04507475391370283
es_1574_act,unemp,mcosmo,raw,growth,fe_country,all,none,-0.00620444265595553,8.867265909158971e-4,-6.9970188325433895,241,270,-0.41090865691075984,TRUE,TRUE,TRUE,-0.41090865691075984
