outcome_build,cell_weight,reg_weight,outcome,pred_form,copredictor,estimator,sample,estimate,se,statistic,df,n,r,positive_outcome,sig,supports_claim,r_ca,p
share,unweighted,none,mcosmo,raw,none,fe_twoway,all,-0.003472985321337856,9.130492419656559e-4,-3.803721816647093,233,270,-0.24179591550885496,TRUE,TRUE,TRUE,-0.24179591550885496,1.8213883373481525e-4
share,unweighted,none,mcosmo,raw,none,fe_twoway,y2004_2008,-0.00685632228103367,0.002061019186026577,-3.326665917289165,103,135,-0.31147969328798175,TRUE,TRUE,TRUE,-0.31147969328798175,0.001219121879275537
share,unweighted,none,mcosmo,raw,none,fe_twoway,y2009_2013,-0.005961957696519286,0.0011308160963708505,-5.272261082640325,103,135,-0.4609973762911168,TRUE,TRUE,TRUE,-0.4609973762911168,7.463810477722958e-7
share,unweighted,none,mcosmo,raw,none,fe_twoway,no_bailout,0.0019381995065014652,0.0014018437440371262,1.3826073802774228,161,190,0.10832354443767164,TRUE,FALSE,FALSE,0.10832354443767164,0.1687000733853484
share,unweighted,none,mcosmo,raw,none,fe_twoway,no_GR_ES,-0.0018106746792407207,0.0011224089691361696,-1.6132040361671873,215,250,-0.10935973072701448,TRUE,FALSE,TRUE,-0.10935973072701448,0.10816697215594859
share,unweighted,none,mcosmo,raw,none,fe_country,all,-0.0056449411365091405,8.217979711982579e-4,-6.869013229952723,242,270,-0.40393149420077795,TRUE,TRUE,TRUE,-0.40393149420077795,5.423415838737389e-11
share,unweighted,none,mcosmo,raw,none,fe_country,y2004_2008,-0.00965119895962002,0.0017094450252857852,-5.645808327767973,107,135,-0.4790864157743249,TRUE,TRUE,TRUE,-0.4790864157743249,1.3644212072162507e-7
share,unweighted,none,mcosmo,raw,none,fe_country,y2009_2013,-0.008489547927310537,0.0012783355384142793,-6.641095136759993,107,135,-0.5402583817509281,TRUE,TRUE,TRUE,-0.5402583817509281,1.3341029428110838e-9
share,unweighted,none,mcosmo,raw,none,fe_country,no_bailout,-0.0020509837854248703,0.0013441807420585782,-1.525824408318662,170,190,-0.11623219985696918,TRUE,FALSE,TRUE,-0.11623219985696918,0.12891189131531922
share,unweighted,none,mcosmo,raw,none,fe_country,no_GR_ES,-0.004500214753033647,0.0010260833787053836,-4.38581780626015,224,250,-0.28121416818152245,TRUE,TRUE,TRUE,-0.28121416818152245,1.778338280754345e-5
share,unweighted,none,mcosmo,raw,none,re,all,-0.005250438016397755,8.121210608073045e-4,-6.465092791927422,268,270,-0.3673126292715656,TRUE,TRUE,TRUE,-0.3673126292715656,4.767618680039408e-10
share,unweighted,none,mcosmo,raw,none,re,y2004_2008,-0.007244742014671676,0.0016705674304825847,-4.336695354211984,133,135,-0.35197605619041805,TRUE,TRUE,TRUE,-0.35197605619041805,2.835021278143835e-5
share,unweighted,none,mcosmo,raw,none,re,y2009_2013,-0.007328212847568657,0.0012154221984513485,-6.02935577193343,133,135,-0.4633127968214201,TRUE,TRUE,TRUE,-0.4633127968214201,1.526285116111798e-8
share,unweighted,none,mcosmo,raw,none,re,no_bailout,-0.0013452140064871025,0.0013272122548699794,-1.0135635815229016,188,190,-0.07372057588384835,TRUE,FALSE,TRUE,-0.07372057588384835,0.31209370651742135
share,unweighted,none,mcosmo,raw,none,re,no_GR_ES,-0.004038753453221503,0.0010158615808149492,-3.975692682443523,248,250,-0.24477686210223976,TRUE,TRUE,TRUE,-0.24477686210223976,9.209791590540165e-5
share,unweighted,none,mcosmo,raw,none,pooled_cl,all,-0.0010975668883812517,0.002195327509771913,-0.4999558760575479,268,270,-0.03052543401154906,TRUE,FALSE,TRUE,-0.03052543401154906,0.6175163914480624
share,unweighted,none,mcosmo,raw,none,pooled_cl,y2004_2008,0.002803129086379308,0.0032137585413226063,0.8722276581568241,133,135,0.0754163406709394,TRUE,FALSE,FALSE,0.0754163406709394,0.384656087447523
share,unweighted,none,mcosmo,raw,none,pooled_cl,y2009_2013,-0.001332221528775629,0.002519553021276177,-0.5287531230840486,133,135,-0.04580059690128037,TRUE,FALSE,TRUE,-0.04580059690128037,0.5978580057116788
share,unweighted,none,mcosmo,raw,none,pooled_cl,no_bailout,0.005972750463127174,0.003153361541511271,1.8940899685941788,188,190,0.13684121819467587,TRUE,FALSE,FALSE,0.13684121819467587,0.059748518601291656
share,unweighted,none,mcosmo,raw,none,pooled_cl,no_GR_ES,0.0011578090769204241,0.00292303802121869,0.3960978504267637,248,250,0.025144286332714833,TRUE,FALSE,FALSE,0.025144286332714833,0.6923734132350188
share,unweighted,none,mcosmo,raw,growth,fe_twoway,all,-0.0035609293971020015,9.834589819854858e-4,-3.6208214702690618,232,270,-0.23127372130510404,TRUE,TRUE,TRUE,-0.23127372130510404,3.606119942240299e-4
share,unweighted,none,mcosmo,raw,growth,fe_twoway,y2004_2008,-0.008076383226124003,0.0021065249288345815,-3.8339841677507223,102,135,-0.35490812280540857,TRUE,TRUE,TRUE,-0.35490812280540857,2.1840143209169222e-4
share,unweighted,none,mcosmo,raw,growth,fe_twoway,y2009_2013,-0.005029388856272649,0.001193696721094044,-4.21328865816363,102,135,-0.3850172492177004,TRUE,TRUE,TRUE,-0.3850172492177004,5.444219581763855e-5
share,unweighted,none,mcosmo,raw,growth,fe_twoway,no_bailout,9.033267529569796e-4,0.001457607520597649,0.6197325001359743,160,190,0.04893545820986344,TRUE,FALSE,FALSE,0.04893545820986344,0.5363154666727364
share,unweighted,none,mcosmo,raw,growth,fe_twoway,no_GR_ES,-0.002190153211528162,0.0012116040257492803,-1.8076476843775153,214,250,-0.12263553089210424,TRUE,FALSE,TRUE,-0.12263553089210424,0.07206551049046256
share,unweighted,none,mcosmo,raw,growth,fe_country,all,-0.006193535538185129,8.843759007941016e-4,-7.00328393460723,241,270,-0.41121439069659577,TRUE,TRUE,TRUE,-0.41121439069659577,2.476449863226087e-11
share,unweighted,none,mcosmo,raw,growth,fe_country,y2004_2008,-0.00977224947271802,0.0017042879323637085,-5.733919302687725,106,135,-0.4865585568617158,TRUE,TRUE,TRUE,-0.4865585568617158,9.346804558158618e-8
share,unweighted,none,mcosmo,raw,growth,fe_country,y2009_2013,-0.008665557839780876,0.0012568899592327089,-6.894444319589379,106,135,-0.5564137938122283,TRUE,TRUE,TRUE,-0.5564137938122283,4.0436711355080406e-10
share,unweighted,none,mcosmo,raw,growth,fe_country,no_bailout,-0.0028047757639574735,0.0013553979173349087,-2.0693375193260195,169,190,-0.15720067568341073,TRUE,TRUE,TRUE,-0.15720067568341073,0.040036446056408354
share,unweighted,none,mcosmo,raw,growth,fe_country,no_GR_ES,-0.005162481802346126,0.0010907730068263986,-4.73286538082415,223,250,-0.30212513646631045,TRUE,TRUE,TRUE,-0.30212513646631045,3.932131224792297e-6
share,unweighted,none,mcosmo,raw,growth,re,all,-0.00550007578379259,8.808494486955397e-4,-6.244058836544335,267,270,-0.356955926618885,TRUE,TRUE,TRUE,-0.356955926618885,1.670690883786624e-9
share,unweighted,none,mcosmo,raw,growth,re,y2004_2008,-0.007212112044702333,0.001677072287174434,-4.300418115460872,132,135,-0.3505513733412032,TRUE,TRUE,TRUE,-0.3505513733412032,3.289178641374269e-5
share,unweighted,none,mcosmo,raw,growth,re,y2009_2013,-0.007437895026522547,0.0012080879040462815,-6.156749853723892,132,135,-0.4723323616005523,TRUE,TRUE,TRUE,-0.4723323616005523,8.319888964363228e-9
share,unweighted,none,mcosmo,raw,growth,re,no_bailout,-0.0019511743510721579,0.001341334784725965,-1.4546512722182054,187,190,-0.10577785171399227,TRUE,FALSE,TRUE,-0.10577785171399227,0.14744230014692242
share,unweighted,none,mcosmo,raw,growth,re,no_GR_ES,-0.004353434015920982,0.0010877261913470574,-4.002325263979918,247,250,-0.24678521831194744,TRUE,TRUE,TRUE,-0.24678521831194744,8.297011293998163e-5
share,unweighted,none,mcosmo,raw,growth,pooled_cl,all,-3.743686521872451e-4,0.0021945353355370565,-0.1705913074740389,267,270,-0.010439449569780566,TRUE,FALSE,TRUE,-0.010439449569780566,0.8646743314464842
share,unweighted,none,mcosmo,raw,growth,pooled_cl,y2004_2008,0.0023327141408706342,0.0030914432632680473,0.7545712284574357,132,135,0.06553580415501473,TRUE,FALSE,FALSE,0.06553580415501473,0.4518503929774641
share,unweighted,none,mcosmo,raw,growth,pooled_cl,y2009_2013,-0.0011684204343947245,0.0024899773928765763,-0.4692494147687392,132,135,-0.04080889571574212,TRUE,FALSE,TRUE,-0.04080889571574212,0.6396655190591921
share,unweighted,none,mcosmo,raw,growth,pooled_cl,no_bailout,0.0059661547275083856,0.0031589656789888254,1.8886418321006047,187,190,0.13681250434358933,TRUE,FALSE,FALSE,0.13681250434358933,0.06048794192772349
share,unweighted,none,mcosmo,raw,growth,pooled_cl,no_GR_ES,0.0016775672642028068,0.0028487279021449396,0.5888829406766748,247,250,0.037443448521493575,TRUE,FALSE,FALSE,0.037443448521493575,0.5564779596791708
share,unweighted,none,mcosmo,log,none,fe_twoway,all,-0.03578982215518677,0.010127121179421791,-3.534056867800825,233,270,-0.2255573698019983,TRUE,TRUE,TRUE,-0.2255573698019983,4.934245889855946e-4
share,unweighted,none,mcosmo,log,none,fe_twoway,y2004_2008,-0.06765173126474455,0.018514581184769754,-3.6539703809446915,103,135,-0.33874978653346044,TRUE,TRUE,TRUE,-0.33874978653346044,4.0822539054937405e-4
share,unweighted,none,mcosmo,log,none,fe_twoway,y2009_2013,-0.06782408778544846,0.014838282741474605,-4.5708852545229375,103,135,-0.41065484250266576,TRUE,TRUE,TRUE,-0.41065484250266576,1.354405295829261e-5
share,unweighted,none,mcosmo,log,none,fe_twoway,no_bailout,0.012144912012836113,0.01310402655260978,0.9268076468005438,161,190,0.07284860150611482,TRUE,FALSE,FALSE,0.07284860150611482,0.3554136600570921
