construction,item_set,noop,cell_weight,cntry,year,n_cell,n_eff_cell,outcome,value
count,all,drop,design,AT,2004,1958,1186.1718648565677,mcomm,1.235832714539429
count,all,drop,design,AT,2005,1978,1712.965190124056,mcomm,1.2432127492394243
count,all,drop,design,AT,2006,996,856.4079395409902,mcomm,1.1761296064156341
count,all,drop,design,AT,2007,984,869.4490473801006,mcomm,1.2817536167562142
count,all,drop,design,AT,2008,1944,1707.5944374999829,mcomm,1.2048369743273508
count,all,drop,design,AT,2009,1014,970.2059914878348,mcomm,1.510021913775467
count,all,drop,design,AT,2010,1973,1845.1643372462165,mcomm,1.5507910595336534
count,all,drop,design,AT,2011,1971,1785.350931056281,mcomm,1.4820816994393853
count,all,drop,design,AT,2012,1964,1779.0555011098581,mcomm,1.556702984420098
count,all,drop,design,AT,2013,982,839.0002887263576,mcomm,1.451715415432487
count,all,drop,design,BE,2004,1871,1783.7135686437668,mcomm,0.9222981987885102
count,all,drop,design,BE,2005,1965,1857.3645711357954,mcomm,0.9184631593158784
count,all,drop,design,BE,2006,983,918.7079601046214,mcomm,0.845135455337684
count,all,drop,design,BE,2007,972,946.0003252120476,mcomm,0.7664487586890325
count,all,drop,design,BE,2008,1952,1799.8327054320944,mcomm,0.5282565496555759
count,all,drop,design,BE,2009,957,905.5039388152145,mcomm,0.7412640705371419
count,all,drop,design,BE,2010,1929,1823.7036200366776,mcomm,0.7856629964445582
count,all,drop,design,BE,2011,1971,1780.8398989569223,mcomm,0.7206723442702698
count,all,drop,design,BE,2012,1981,1839.353660819529,mcomm,0.8548011706043481
count,all,drop,design,BE,2013,946,891.1701970316738,mcomm,0.71249228360496
count,all,drop,design,BG,2004,907,869.160048901559,mcomm,0.37196117380691346
count,all,drop,design,BG,2005,1866,1820.6085423174293,mcomm,0.369114617922091
count,all,drop,design,BG,2006,938,913.0230530063732,mcomm,0.3290907920139692
count,all,drop,design,BG,2007,974,917.2040283680266,mcomm,0.2590797783748688
count,all,drop,design,BG,2008,1825,1727.7936842610145,mcomm,0.17080359332100747
count,all,drop,design,BG,2009,954,909.4969389604528,mcomm,0.264277586357813
count,all,drop,design,BG,2010,1925,1857.5371931498526,mcomm,0.328929874188958
count,all,drop,design,BG,2011,1920,1769.880228451541,mcomm,0.24839678379292457
count,all,drop,design,BG,2012,1944,1828.1449297641273,mcomm,0.22315822019679818
count,all,drop,design,BG,2013,954,875.0713085755444,mcomm,0.22035108464277725
count,all,drop,design,CY,2004,479,419.4654693253978,mcomm,0.7995922169671649
count,all,drop,design,CY,2005,995,881.6131266480592,mcomm,1.0168316598378229
count,all,drop,design,CY,2006,495,456.6445830127354,mcomm,0.8645323581547344
count,all,drop,design,CY,2007,492,420.4044198157913,mcomm,1.1497783620089885
count,all,drop,design,CY,2008,983,746.3310572031056,mcomm,0.9781913262914664
count,all,drop,design,CY,2009,503,434.39967088989346,mcomm,1.2896139041634715
count,all,drop,design,CY,2010,1002,995.9541363553498,mcomm,1.371241096707449
count,all,drop,design,CY,2011,992,989.7867709145552,mcomm,1.456565201012839
count,all,drop,design,CY,2012,994,992.8397903754534,mcomm,1.6876283636088838
count,all,drop,design,CY,2013,492,491.492577658207,mcomm,1.6410669629210488
count,all,drop,design,CZ,2004,1051,806.0900455090894,mcomm,0.9114761641469992
count,all,drop,design,CZ,2005,2173,1877.1565342704632,mcomm,0.7720687598126309
count,all,drop,design,CZ,2006,1026,875.942799855371,mcomm,0.667241280462386
count,all,drop,design,CZ,2007,1018,858.9091737329748,mcomm,0.6407717247336032
count,all,drop,design,CZ,2008,1942,1565.154963684887,mcomm,0.5999636067742803
count,all,drop,design,CZ,2009,1024,931.8258501835612,mcomm,0.7145806394935444
count,all,drop,design,CZ,2010,1979,1863.876959412007,mcomm,0.8493883057093221
count,all,drop,design,CZ,2011,1954,1877.9480414915874,mcomm,0.8856746911065533
count,all,drop,design,CZ,2012,1891,1737.4783182084755,mcomm,0.7673526012166427
count,all,drop,design,CZ,2013,951,901.2670846840854,mcomm,0.7399457172473788
count,all,drop,design,DE,2004,3497,3042.5338699898984,mcomm,1.2891974470203327
count,all,drop,design,DE,2005,3001,2383.9789941008667,mcomm,1.1904533478748311
